seqnames,strand,gene,score,support,CAGE_significance
NC_001491.2,+,CAGE_cluster_1,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_10,302.909228319,2,*
NC_001491.2,+,CAGE_cluster_100,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_1000,309.564999042,2,*
NC_001491.2,+,CAGE_cluster_1001,260.58783765,2,*
NC_001491.2,+,CAGE_cluster_1002,328.80212931,2,*
NC_001491.2,+,CAGE_cluster_1003,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_1004,267.243608373,2,*
NC_001491.2,+,CAGE_cluster_1005,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1006,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1007,598827.546323734,9,***
NC_001491.2,+,CAGE_cluster_1008,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1009,1177.808266601,5,***
NC_001491.2,+,CAGE_cluster_101,49270.838652001,9,***
NC_001491.2,+,CAGE_cluster_1010,7209.714970452,7,***
NC_001491.2,+,CAGE_cluster_1011,11968.281660042,7,***
NC_001491.2,+,CAGE_cluster_1012,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1013,1734.781424529,4,**
NC_001491.2,+,CAGE_cluster_1014,302.909228319,2,*
NC_001491.2,+,CAGE_cluster_1015,8753.131636745,7,***
NC_001491.2,+,CAGE_cluster_1016,2360.237976993,5,***
NC_001491.2,+,CAGE_cluster_1017,2055.550648605,7,***
NC_001491.2,+,CAGE_cluster_1018,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1019,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_102,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1020,453.514739229,1,*
NC_001491.2,+,CAGE_cluster_1021,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1022,651.26043826,2,*
NC_001491.2,+,CAGE_cluster_1023,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1024,216.982829299,2,*
NC_001491.2,+,CAGE_cluster_1025,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_1026,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1027,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1028,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_1029,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_103,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1030,466.852265231,2,*
NC_001491.2,+,CAGE_cluster_1031,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1032,466.272925086,1,*
NC_001491.2,+,CAGE_cluster_1033,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_1034,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1035,216.982829299,2,*
NC_001491.2,+,CAGE_cluster_1036,453.514739229,1,*
NC_001491.2,+,CAGE_cluster_1037,372.407137661,3,**
NC_001491.2,+,CAGE_cluster_1038,732.232915777,3,**
NC_001491.2,+,CAGE_cluster_1039,6134.170306508,8,***
NC_001491.2,+,CAGE_cluster_104,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1040,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_1041,544.365813827,1,*
NC_001491.2,+,CAGE_cluster_1042,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1043,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_1044,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1045,453.514739229,1,*
NC_001491.2,+,CAGE_cluster_1046,11075.494764475,9,***
NC_001491.2,+,CAGE_cluster_1047,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_1048,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1049,421.384299053,2,*
NC_001491.2,+,CAGE_cluster_105,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1050,458.333536681,3,**
NC_001491.2,+,CAGE_cluster_1051,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_1052,762.776506484,1,*
NC_001491.2,+,CAGE_cluster_1053,395.491398062,2,*
NC_001491.2,+,CAGE_cluster_1054,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_1055,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_1056,267.243608373,2,*
NC_001491.2,+,CAGE_cluster_1057,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_1058,302.909228319,2,*
NC_001491.2,+,CAGE_cluster_1059,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_106,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_1060,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1061,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_1062,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_1063,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_1064,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_1065,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_1066,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_107,210.327058576,1,*
NC_001491.2,+,CAGE_cluster_108,529.69440385,3,**
NC_001491.2,+,CAGE_cluster_109,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_11,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_110,322.146358587,2,*
NC_001491.2,+,CAGE_cluster_111,2849.34208532,8,***
NC_001491.2,+,CAGE_cluster_112,260.58783765,2,*
NC_001491.2,+,CAGE_cluster_113,1764.55108293,6,***
NC_001491.2,+,CAGE_cluster_114,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_115,1109.593974941,5,***
NC_001491.2,+,CAGE_cluster_116,2104.695917734,5,***
NC_001491.2,+,CAGE_cluster_117,421.384299053,2,*
NC_001491.2,+,CAGE_cluster_118,827.784834717,3,**
NC_001491.2,+,CAGE_cluster_119,878.045613791,3,**
NC_001491.2,+,CAGE_cluster_12,1018.848778469,2,*
NC_001491.2,+,CAGE_cluster_120,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_121,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_122,2175.914661723,4,**
NC_001491.2,+,CAGE_cluster_123,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_124,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_125,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_126,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_127,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_128,3600.301543071,8,***
NC_001491.2,+,CAGE_cluster_129,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_13,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_130,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_131,1602.339141163,6,***
NC_001491.2,+,CAGE_cluster_132,853.930812869,3,**
NC_001491.2,+,CAGE_cluster_133,529.69440385,3,**
NC_001491.2,+,CAGE_cluster_134,1229.628771715,3,**
NC_001491.2,+,CAGE_cluster_135,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_136,803.564155669,3,**
NC_001491.2,+,CAGE_cluster_137,1335.348609951,2,*
NC_001491.2,+,CAGE_cluster_138,63752.914516575,9,***
NC_001491.2,+,CAGE_cluster_139,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_14,267.243608373,2,*
NC_001491.2,+,CAGE_cluster_140,2123.034758364,5,***
NC_001491.2,+,CAGE_cluster_141,1741.107978909,4,**
NC_001491.2,+,CAGE_cluster_142,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_143,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_144,911.84827591,4,**
NC_001491.2,+,CAGE_cluster_145,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_146,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_147,1156.840041188,4,**
NC_001491.2,+,CAGE_cluster_148,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_149,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_15,767.898535723,4,**
NC_001491.2,+,CAGE_cluster_150,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_151,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_152,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_153,576.808607415,3,**
NC_001491.2,+,CAGE_cluster_154,374.270095488,2,*
NC_001491.2,+,CAGE_cluster_155,216.982829299,2,*
NC_001491.2,+,CAGE_cluster_156,353.170007393,2,*
NC_001491.2,+,CAGE_cluster_157,597.90869551,3,**
NC_001491.2,+,CAGE_cluster_158,414.72852833,3,**
NC_001491.2,+,CAGE_cluster_159,1928.332629883,6,***
NC_001491.2,+,CAGE_cluster_16,302.909228319,2,*
NC_001491.2,+,CAGE_cluster_160,1734.34633006,5,***
NC_001491.2,+,CAGE_cluster_161,353.170007393,2,*
NC_001491.2,+,CAGE_cluster_162,1122.931500943,5,***
NC_001491.2,+,CAGE_cluster_163,77902.069581753,9,***
NC_001491.2,+,CAGE_cluster_164,733.516533458,2,*
NC_001491.2,+,CAGE_cluster_165,4045.168194915,7,***
NC_001491.2,+,CAGE_cluster_166,720.758347602,3,**
NC_001491.2,+,CAGE_cluster_167,1661.731472486,5,***
NC_001491.2,+,CAGE_cluster_168,2189.69804256,5,***
NC_001491.2,+,CAGE_cluster_169,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_17,46784.823665342,9,***
NC_001491.2,+,CAGE_cluster_170,762.776506484,1,*
NC_001491.2,+,CAGE_cluster_171,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_172,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_173,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_174,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_175,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_176,2188.578868196,6,***
NC_001491.2,+,CAGE_cluster_177,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_178,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_179,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_18,1295.729981746,4,**
NC_001491.2,+,CAGE_cluster_180,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_181,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_182,309.564999042,2,*
NC_001491.2,+,CAGE_cluster_183,466.852265231,2,*
NC_001491.2,+,CAGE_cluster_184,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_185,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_186,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_187,395.491398062,1,*
NC_001491.2,+,CAGE_cluster_188,453.514739229,1,*
NC_001491.2,+,CAGE_cluster_189,578.671565242,3,**
NC_001491.2,+,CAGE_cluster_19,17199.247139549,9,***
NC_001491.2,+,CAGE_cluster_190,867.940035772,2,*
NC_001491.2,+,CAGE_cluster_191,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_192,544.365813827,1,*
NC_001491.2,+,CAGE_cluster_193,309.564999042,2,*
NC_001491.2,+,CAGE_cluster_194,2342.723223295,5,***
NC_001491.2,+,CAGE_cluster_195,722.621305429,2,*
NC_001491.2,+,CAGE_cluster_196,3596.028037044,8,***
NC_001491.2,+,CAGE_cluster_197,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_198,954.169666579,4,**
NC_001491.2,+,CAGE_cluster_199,155.424308362,1,*
NC_001491.2,+,CAGE_cluster_2,2725.24101483,5,***
NC_001491.2,+,CAGE_cluster_20,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_200,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_201,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_202,380.925866211,2,*
NC_001491.2,+,CAGE_cluster_203,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_204,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_205,105.163529288,1,*
NC_001491.2,+,CAGE_cluster_206,269.1065662,1,*
NC_001491.2,+,CAGE_cluster_207,111.819300011,1,*
NC_001491.2,+,CAGE_cluster_208,197.745699031,1,*
NC_001491.2,+,CAGE_cluster_209,453.514739229,1,*
NC_001491.2,+,CAGE_cluster_21,1304.354588422,4,**
NC_001491.2,+,CAGE_cluster_210,269.1065662,1,*
