sample_id	rep	time	virus	hpi_replicate	time_num	cell_line
EHV-1_1h_1	1	1h	EHV-1	1h_1	1	RK-13
EHV-1_1h_2	2	1h	EHV-1	1h_2	1	RK-13
EHV-1_1h_3	3	1h	EHV-1	1h_3	1	RK-13
EHV-1_2h_1	1	2h	EHV-1	2h_1	2	RK-13
EHV-1_2h_2	2	2h	EHV-1	2h_2	2	RK-13
EHV-1_2h_3	3	2h	EHV-1	2h_3	2	RK-13
EHV-1_4h_1	1	4h	EHV-1	4h_1	4	RK-13
EHV-1_4h_2	2	4h	EHV-1	4h_2	4	RK-13
EHV-1_4h_3	3	4h	EHV-1	4h_3	4	RK-13
EHV-1_6h_1	1	6h	EHV-1	6h_1	6	RK-13
EHV-1_6h_2	2	6h	EHV-1	6h_2	6	RK-13
EHV-1_6h_3	3	6h	EHV-1	6h_3	6	RK-13
EHV-1_8h_1	1	8h	EHV-1	8h_1	8	RK-13
EHV-1_8h_2	2	8h	EHV-1	8h_2	8	RK-13
EHV-1_8h_3	3	8h	EHV-1	8h_3	8	RK-13
EHV-1_12h_1	1	12h	EHV-1	12h_1	12	RK-13
EHV-1_12h_2	2	12h	EHV-1	12h_2	12	RK-13
EHV-1_12h_3	3	12h	EHV-1	12h_3	12	RK-13
EHV-1_18h_1	1	18h	EHV-1	18h_1	18	RK-13
EHV-1_18h_2	2	18h	EHV-1	18h_2	18	RK-13
EHV-1_18h_3	3	18h	EHV-1	18h_3	18	RK-13
EHV-1_24h_1	1	24h	EHV-1	24h_1	24	RK-13
EHV-1_24h_2	2	24h	EHV-1	24h_2	24	RK-13
EHV-1_24h_3	3	24h	EHV-1	24h_3	24	RK-13
EHV-1_48h_1	1	48h	EHV-1	48h_1	48	RK-13
EHV-1_48h_2	2	48h	EHV-1	48h_2	48	RK-13
EHV-1_48h_3	3	48h	EHV-1	48h_3	48	RK-13
