Ref_Class	gene	seqnames	gene_cluster	gene_region	Kinetic_class	hpi	Time	cell_line	group	cmp_ref	strand	sample	class_code	read_count	parent	norm_base	sum_read_count	norm_read_count	mean	sd	varcoeff	Isoform_nr	Description	rep
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_1	=	0	NA	1	0	0	0	0	NA	1	NA	1
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_2	=	0	NA	1	0	0	0	0	NA	1	NA	2
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_3	=	0	NA	1	0	0	0	0	NA	1	NA	3
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_1	=	0	NA	1	10	0	0.037037037037037	0.0641500299099584	1.73205080756888	1	NA	1
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_2	=	0	NA	1	1	0	0.037037037037037	0.0641500299099584	1.73205080756888	1	NA	2
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_3	=	1	NA	1	9	0.111111111111111	0.037037037037037	0.0641500299099584	1.73205080756888	1	NA	3
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_1	=	0	NA	1	11	0	0.0541125541125541	0.0478643817911168	0.884533775499839	1	NA	1
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_2	=	1	NA	1	11	0.0909090909090909	0.0541125541125541	0.0478643817911168	0.884533775499839	1	NA	2
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_3	=	1	NA	1	14	0.0714285714285714	0.0541125541125541	0.0478643817911168	0.884533775499839	1	NA	3
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-L	-	EHV-1_6h_1	=	0	NA	1	132	0	0.00260416666666667	0.00451054897804395	1.73205080756888	1	NA	1
