gene	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
CTO	unknown	cluster_6	0.6030497260205	0.175673730056104	0.0847213747014762	0.391529838779255
NOIR_1	unknown	cluster_7	0.99872194833452	0.995801102480729	0.077844069055121	0.734665403931308
NOIR_2	unknown	cluster_7	0.99872194833452	0.995801102480729	0.0778489625830563	0.734753862479953
ORF1	unknown	cluster_1	1	1	0.170183132035725	0.429556771574822
ORF10, ORF11	L	cluster_7	0.99872194833452	0.995801102480729	0.0152101308813897	0.659060397151978
ORF12, ORF13, ORF14	L	cluster_6	0.6030497260205	0.175673730056104	0.0668192887225146	0.566136034863555
ORF17	L	cluster_1	1	1	0.179220836356506	0.28189881479165
ORF18	L	cluster_3	0.957962753913331	0.881521113252141	0.0868777901176166	0.498704970035359
ORF18, ORF17, ORF16, ORF15	L	cluster_8	0.939684315938845	0.735574520989335	0.179777896227558	0.580501236483572
ORF19	L	cluster_8	0.939684315938845	0.735574520989335	0.165555565517113	0.631681291450474
ORF2	unknown	cluster_2	0.703274427084147	0.353527670439211	0.0106676591677407	0.908248896041631
ORF22	L	cluster_6	0.6030497260205	0.175673730056104	0.0548838801845777	0.701373501600314
ORF22, ORF21, ORF20	E	cluster_1	1	1	0.0953918622638235	0.400661968417354
ORF23	L	cluster_6	0.6030497260205	0.175673730056104	0.0680546466402925	0.16459835436323
ORF24	L	cluster_9	0.998987166639018	0.995725381600076	0	0
ORF27, ORF26, ORF25	L	cluster_6	0.6030497260205	0.175673730056104	0.27764202365234	0.475439328706182
ORF28, ORF29	L	cluster_3	0.957962753913331	0.881521113252141	0.0146618211624083	-0.0817537470401786
ORF3	L	cluster_3	0.957962753913331	0.881521113252141	0.0159613533163648	0.0222968023747842
ORF30	E	cluster_5	0.951752208217096	0.878407857678269	0.125250690876415	0.511618331890221
ORF31	E	cluster_1	1	1	0.061818598630106	0.59761862619352
ORF32, ORF33, ORF34	E/L	cluster_7	0.99872194833452	0.995801102480729	0.148502804570555	0.0981067331623638
ORF36	L	cluster_6	0.6030497260205	0.175673730056104	0.0926762961746533	0.246354436840922
ORF37	L	cluster_3	0.957962753913331	0.881521113252141	0.0397170427459923	0.553966833991042
ORF37, ORF36, ORF35, ORF35.5	L	cluster_6	0.6030497260205	0.175673730056104	0.0321730696463551	0.628372534150705
ORF38	L	cluster_3	0.957962753913331	0.881521113252141	0.00963632655279747	0.467294517832316
ORF39	L	cluster_10	0.697694431655348	0.264069380820686	0.0157265938534762	0.741950791801501
ORF4	unknown	cluster_4	0.991439622349466	0.971318620599229	0	0
ORF40	L	cluster_2	0.703274427084147	0.353527670439211	0.0106676591677407	0.872019066154416
ORF41, ORF42, OF43	L	cluster_6	0.6030497260205	0.175673730056104	0.0204784653888496	0.592207842324338
ORF44	L	cluster_6	0.6030497260205	0.175673730056104	0.0931045798101145	0.71886382891652
ORF45, ORF46	L	cluster_10	0.697694431655348	0.264069380820686	0.0157265938534762	0.163542290451043
ORF48, ORF49, ORF50, ORF51	E/L	cluster_3	0.957962753913331	0.881521113252141	0.0402301474491685	0.215500357797626
ORF52	L	cluster_8	0.939684315938845	0.735574520989335	0.070722814480329	0.713439253830506
ORF53, ORF54	E	cluster_8	0.939684315938845	0.735574520989335	0.123656041188009	0.67173536520327
ORF57, ORF58	L	cluster_8	0.939684315938845	0.735574520989335	0.0496874614198299	0.779833608206031
ORF62, ORF61, ORF60,ORF59	E/L	cluster_8	0.939684315938845	0.735574520989335	0.13621626605604	0.454244278094482
ORF63	E	cluster_5	0.951752208217096	0.878407857678269	0.0505604684430045	0.740248093073362
ORF64_1	IE	cluster_11	0.68667205328674	0.182422708708459	0	0
ORF65_1	E	cluster_5	0.951752208217096	0.878407857678269	0.178351687183781	0.613272358154783
ORF66_1	unknown	cluster_3	0.957962753913331	0.881521113252141	0.0375696385943846	-0.104173546430096
ORF68, ORF67_1	L	cluster_1	1	1	0.29636785250381	0.631270986137271
ORF69, ORF70	E/L	cluster_12	0.636955232498049	0.173870480256359	0	0
ORF7,  ORF6,  ORF5	E/L	cluster_5	0.951752208217096	0.878407857678269	0.03415302380013	0.561803593998674
ORF71, ORF72, ORF73	L	cluster_8	0.939684315938845	0.735574520989335	0.139023546525154	0.461354389491788
ORF74, ORF75, ORF76, ORF67 _2	L	cluster_1	1	1	0.20642198584608	0.64090568204382
ORF8	L	cluster_6	0.6030497260205	0.175673730056104	0.0933210572082542	0.662354583265274
ORF9	L	cluster_3	0.957962753913331	0.881521113252141	0.0166569894978851	0.64882240770577
