gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
ORF1	unknown	cluster_1	0	0.00999143412164292	0.0108740905859607	0.00603140296110465	0.00497433648786039	0.00385762072767087	0.00251136778859926	0.00233964842732467	0.00271798744335756
ORF2	unknown	cluster_2	0	0.000196119097779379	0.000934001639483209	0.00660942728397357	0.0130731033771998	0.0105085607219926	0.00431340916170442	0.00312043928750142	0.00386462460612873
ORF3	L	cluster_3	0	0.00027363847762434	0.00214039745417682	0.0111519597268926	0.0112528482920042	0.0074282263400376	0.00376379392997043	0.00333106943757038	0.00407419353518466
ORF4	unknown	cluster_4	0.0114942528735632	0.00688136364247921	0.00660674130780102	0.0067019615117596	0.00454829182046245	0.00246289906248181	0.00120976161848144	0.000984538261843715	0.00114611588327463
ORF7,  ORF6,  ORF5	E/L	cluster_5	0.0170940170940171	0.0734784768661629	0.0579859181950238	0.0243750132825782	0.0146286082905863	0.0121113236936567	0.0106035408521889	0.0128188718993363	0.00985207396936524
ORF8	L	cluster_6	0	0	0.00103500229870348	0.0032978772118821	0.00505209651835052	0.00585203829049782	0.00467769624975138	0.00434199303629992	0.00553091914116352
ORF9	L	cluster_3	0	0.00333154450918566	0.00578576316495707	0.0100892307059078	0.00820993080439076	0.00493934341766508	0.00339011907130019	0.00307801657381593	0.00433120036958143
ORF10, ORF11	L	cluster_7	0	0.0292812345492853	0.0170461412519203	0.0233781624156064	0.0244415185323478	0.0199479212386209	0.0175647603078098	0.0148878500402786	0.0131778549512702
ORF12, ORF13, ORF14	L	cluster_6	0	0.00863324357903942	0.020162692681278	0.0407019809702076	0.0391277976117554	0.0329194931742683	0.0423145970904502	0.0411625341947053	0.0324275961060166
ORF18, ORF17, ORF16, ORF15	L	cluster_8	0	0.000232558139534884	7.47423774876237e-05	0.000754154899391579	0.00288545345839185	0.0677324497781694	0.129028288211111	0.128954966770242	0.0739628710740654
ORF17	L	cluster_1	0	0.00788664812009729	0.00661488738561446	0.00409240650224322	0.00382357308420343	0.00284651722796949	0.00199705267298242	0.00118340463777047	0.000833814471646549
