gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF1	unknown	1h	1	RK-13	0	0		cluster_1
ORF1	unknown	2h	2	RK-13	0.00999143412164292	0.00157711870173098	0.157847080061781	cluster_1
ORF1	unknown	4h	4	RK-13	0.0108740905859607	0.00105080315333299	0.0966336582380196	cluster_1
ORF1	unknown	6h	6	RK-13	0.00603140296110465	0.000586209199273208	0.0971928427023626	cluster_1
ORF1	unknown	8h	8	RK-13	0.00497433648786039	0.000290180347553621	0.0583354882127077	cluster_1
ORF1	unknown	12h	12	RK-13	0.00385762072767087	0.000197581083322359	0.0512183797399007	cluster_1
ORF1	unknown	18h	18	RK-13	0.00251136778859926	0.000141719769757815	0.0564313082301896	cluster_1
ORF1	unknown	24h	24	RK-13	0.00233964842732467	6.53420621904843e-05	0.0279281542591428	cluster_1
ORF1	unknown	48h	48	RK-13	0.00271798744335756	9.52471808066516e-05	0.0350432747728193	cluster_1
ORF2	unknown	1h	1	RK-13	0	0		cluster_2
ORF2	unknown	2h	2	RK-13	0.000196119097779379	0.000206437972980241	1.05261535117029	cluster_2
ORF2	unknown	4h	4	RK-13	0.000934001639483209	0.000278865537015317	0.298570714682702	cluster_2
ORF2	unknown	6h	6	RK-13	0.00660942728397357	9.27637213256157e-05	0.0140350619410774	cluster_2
ORF2	unknown	8h	8	RK-13	0.0130731033771998	7.76270816689424e-05	0.00593792303396974	cluster_2
ORF2	unknown	12h	12	RK-13	0.0105085607219926	0.000362861970981523	0.0345301302986352	cluster_2
ORF2	unknown	18h	18	RK-13	0.00431340916170442	0.00017212430712889	0.0399044701478948	cluster_2
ORF2	unknown	24h	24	RK-13	0.00312043928750142	2.24537193503075e-05	0.00719569178616725	cluster_2
ORF2	unknown	48h	48	RK-13	0.00386462460612873	0.000303667473475341	0.0785761890026184	cluster_2
ORF3	L	1h	1	RK-13	0	0		cluster_2
ORF3	L	2h	2	RK-13	0.00027363847762434	0.000122618542382466	0.448104168123611	cluster_2
ORF3	L	4h	4	RK-13	0.00214039745417682	0.000316770020724722	0.147995887449114	cluster_2
ORF3	L	6h	6	RK-13	0.0111519597268926	0.00010937897384045	0.00980804957326788	cluster_2
ORF3	L	8h	8	RK-13	0.0112528482920042	0.000247563614613103	0.0220000846175995	cluster_2
ORF3	L	12h	12	RK-13	0.0074282263400376	0.000303013288065059	0.0407921452839744	cluster_2
ORF3	L	18h	18	RK-13	0.00376379392997043	6.98719905947648e-05	0.0185642444551458	cluster_2
ORF3	L	24h	24	RK-13	0.00333106943757038	0.000133278510009293	0.0400107270374118	cluster_2
ORF3	L	48h	48	RK-13	0.00407419353518466	3.38778370286795e-05	0.00831522526755567	cluster_2
ORF4	unknown	1h	1	RK-13	0.0114942528735632	0.0199086299720561	1.73205080756888	cluster_3
ORF4	unknown	2h	2	RK-13	0.00688136364247921	0.00144726792014504	0.210317023679862	cluster_3
ORF4	unknown	4h	4	RK-13	0.00660674130780102	0.00107220561180335	0.162289631431055	cluster_3
ORF4	unknown	6h	6	RK-13	0.0067019615117596	0.00069467885791306	0.103653065851563	cluster_3
ORF4	unknown	8h	8	RK-13	0.00454829182046245	0.000250676607005249	0.0551144510731418	cluster_3
ORF4	unknown	12h	12	RK-13	0.00246289906248181	5.47524996222572e-05	0.0222309149637193	cluster_3
ORF4	unknown	18h	18	RK-13	0.00120976161848144	9.71934466442443e-05	0.0803409904558278	cluster_3
ORF4	unknown	24h	24	RK-13	0.000984538261843715	0.000100489791495513	0.102067939246291	cluster_3
ORF4	unknown	48h	48	RK-13	0.00114611588327463	6.55958875183563e-05	0.0572332069344842	cluster_3
ORF7,  ORF6,  ORF5	E/L	1h	1	RK-13	0.0170940170940171	0.0148038530561443	0.866025403784439	cluster_1
ORF7,  ORF6,  ORF5	E/L	2h	2	RK-13	0.0734784768661629	0.00381952862905614	0.051981597767918	cluster_1
ORF7,  ORF6,  ORF5	E/L	4h	4	RK-13	0.0579859181950238	0.00026950073927941	0.0046476928824857	cluster_1
