gene	cluster	si	au	bp	se.si	se.au	se.bp	v	c	pchi	neighbor	sil_width	gene_order	gene_to_centroid_dist	scaled_dist
CTO	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	2	0.356260215174606	8	0.0819971775703238	0.276915094970822
NOIR_1	7	0.993368147234121	0.997894789021471	0.97207525130654	0.00253625261140302	0.000946659290440937	0.00199316921023941	-2.38707951440339	0.474871334824442	0.206914211021768	6	0.781561652614319	2	0.0776117093621582	0.262104800502892
NOIR_2	7	0.993368147234121	0.997894789021471	0.97207525130654	0.00253625261140302	0.000946659290440937	0.00199316921023941	-2.38707951440339	0.474871334824442	0.206914211021768	6	0.781670191188483	1	0.0776166175397754	0.262121376054774
ORF1	1	1	1	1	0	0	0	0	0	0	5	0.4356563263972	4	0.170088221867406	0.574409967604513
ORF10, ORF11	7	0.993368147234121	0.997894789021471	0.97207525130654	0.00253625261140302	0.000946659290440937	0.00199316921023941	-2.38707951440339	0.474871334824442	0.206914211021768	3	0.701151092892726	3	0.014890599144748	0.0502874830393268
ORF12, ORF13, ORF14	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	3	0.549808814895348	6	0.0662598961707895	0.223768256232414
ORF17	1	1	1	1	0	0	0	0	0	0	5	0.281887948757595	6	0.179078832449433	0.604772424666309
ORF18	3	0.123481019792524	0.598675511810231	0.515266169282362	0.0376326243337588	0.0295733250728807	0.00527044015681563	-0.14409813279056	0.105822177251974	0.938762776600692	2	0.519726222989431	3	0.0868439717801171	0.293283347131183
ORF18, ORF17, ORF16, ORF15	8	0.663475630896556	0.9263860556556	0.458796586554783	0.0335465894141011	0.0110144449271806	0.00527820380186959	-0.672963478413741	0.776429427502312	0.449489009473846	6	0.620918714688393	4	0.179425766550944	0.605944066087579
ORF19	8	0.663475630896556	0.9263860556556	0.458796586554783	0.0335465894141011	0.0110144449271806	0.00527820380186959	-0.672963478413741	0.776429427502312	0.449489009473846	6	0.59228517624894	5	0.155844983662897	0.526308706354255
ORF2	2	0.998416303903893	0.999483482039984	0.991348778164751	0.00117448744324577	0.000437096680684237	0.001338253092088	-2.83079425857431	0.450577217575843	0.604415301936519	3	0.908405091870925	1	0.0105298865207404	0.035560791387265
ORF22	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	2	0.693047171984945	2	0.0542502337292454	0.183210069790991
ORF22, ORF21, ORF20	1	1	1	1	0	0	0	0	0	0	7	0.34914044979601	5	0.0953546884573725	0.322025140285353
ORF23	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	2	0.220340991213126	9	0.0659759768352022	0.222809423841985
ORF24	9	0.996997730516983	0.999333402081149	0.953329863182225	0.00106309561771288	0.000282140662064917	0.00253522169661139	-2.44338576375553	0.765350800050386	0.338518168701156	6	0	1	0	0
ORF27, ORF26, ORF25	6	0.830088784006712	0.93392354750284	0.826706443209483	0.0223084986109915	0.0112787216645723	0.00412453875575316	-1.22344795595818	0.282218165844494	0.393342215726711	2	0.479497249007563	7	0.273905856671478	0.925015574447013
ORF28, ORF29	3	0.123481019792524	0.598675511810231	0.515266169282362	0.0376326243337588	0.0295733250728807	0.00527044015681563	-0.14409813279056	0.105822177251974	0.938762776600692	2	-0.0735402637615101	7	0.0145688510646552	0.0492008980763363
