gene	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
CTO	unknown	cluster_3	0.999030202039559	0.996878565739356	12.3214693913116	0.174560206613314
NOIR_1	unknown	cluster_5	0.626912470278075	0.209733355554317	13.024360819224	0.377153917639386
NOIR_2	unknown	cluster_5	0.626912470278075	0.209733355554317	13.0261987977634	0.376814444674708
ORF1	unknown	cluster_1	1	1	4.73664576340343	0.351869927225151
ORF10, ORF11	L	cluster_5	0.626912470278075	0.209733355554317	5.26735707306103	0.54606062518614
ORF12, ORF13, ORF14	L	cluster_3	0.999030202039559	0.996878565739356	12.6283534045602	0.416578308975784
ORF17	L	cluster_1	1	1	7.50098010237216	0.354380366663169
ORF18	L	cluster_5	0.626912470278075	0.209733355554317	6.86782662579076	0.301974101962582
ORF18, ORF17, ORF16, ORF15	L	cluster_6	0.997813469001926	0.990201007573879	0	0
ORF19	L	cluster_7	0.859661823593837	0.604688749972033	6.24272786247956	0.599200628720115
ORF2	unknown	cluster_2	0.866619198573395	0.704844601682056	4.05272469407925	0.448009040679053
ORF22	L	cluster_3	0.999030202039559	0.996878565739356	4.39795201390416	0.376010126350324
ORF22, ORF21, ORF20	E	cluster_5	0.626912470278075	0.209733355554317	6.83811038521875	0.270884577822843
ORF23	L	cluster_2	0.866619198573395	0.704844601682056	2.78205851399119	0.660103572696088
ORF24	L	cluster_8	0.9899226573709	0.971377127598774	0	0
ORF27, ORF26, ORF25	L	cluster_9	0.984444468510597	0.958187392334834	12.6220625712806	0.394826443178934
ORF28, ORF29	L	cluster_3	0.999030202039559	0.996878565739356	6.27444578011785	0.0541211138722778
ORF3	L	cluster_3	0.999030202039559	0.996878565739356	5.96555502946438	-0.0110600792743516
ORF30	E	cluster_1	1	1	3.35081996873179	0.626181438401696
ORF31	E	cluster_4	0.608821466630612	0.215373142226884	6.75750896419499	0.758300723334259
ORF32, ORF33, ORF34	E/L	cluster_5	0.626912470278075	0.209733355554317	10.8138416394718	0.560631566622966
ORF36	L	cluster_2	0.866619198573395	0.704844601682056	4.48069092186875	0.537477994240754
ORF37	L	cluster_3	0.999030202039559	0.996878565739356	14.8480304774804	0.28910320449196
ORF37, ORF36, ORF35, ORF35.5	L	cluster_2	0.866619198573395	0.704844601682056	9.91382691821056	0.220668156708485
ORF38	L	cluster_5	0.626912470278075	0.209733355554317	4.65780689527174	0.468750478790582
ORF39	L	cluster_9	0.984444468510597	0.958187392334834	10.2700350711675	0.681872195000316
ORF4	unknown	cluster_4	0.608821466630612	0.215373142226884	6.75750896419499	0.723088744820822
ORF40	L	cluster_2	0.866619198573395	0.704844601682056	8.791285357801	0.563582733361241
ORF41, ORF42, OF43	L	cluster_2	0.866619198573395	0.704844601682056	9.18743042340469	0.24836368594939
ORF44	L	cluster_3	0.999030202039559	0.996878565739356	6.04421921110367	0.341138250590116
ORF45, ORF46	L	cluster_9	0.984444468510597	0.958187392334834	3.34722393335814	0.442568045987422
ORF48, ORF49, ORF50, ORF51	E/L	cluster_5	0.626912470278075	0.209733355554317	3.06902504277531	0.557821075166284
ORF52	L	cluster_7	0.859661823593837	0.604688749972033	4.35523150119526	0.567765489696928
ORF53, ORF54	E	cluster_10	0.946601372425852	0.786551273847266	0	0
ORF57, ORF58	L	cluster_7	0.859661823593837	0.604688749972033	5.57498766825721	0.120644712724064
ORF62, ORF61, ORF60,ORF59	E/L	cluster_3	0.999030202039559	0.996878565739356	16.5894253775364	0.227613020298615
ORF63	E	cluster_1	1	1	5.60465384788354	0.579783457184926
ORF64_1	IE	cluster_11	0.980719604348316	0.939736827880284	0	0
ORF65_1	E	cluster_12	0.893924188513272	0.482267102929991	5.62796358589055	0.396566673219546
ORF66_1	unknown	cluster_3	0.999030202039559	0.996878565739356	14.399695069914	0.234103197480485
ORF68, ORF67_1	L	cluster_12	0.893924188513272	0.482267102929991	6.89929328054768	0.456186405616012
ORF69, ORF70	E/L	cluster_12	0.893924188513272	0.482267102929991	4.36161731873495	0.680115374943848
ORF7,  ORF6,  ORF5	E/L	cluster_1	1	1	10.4926289916331	0.259041529901315
ORF71, ORF72, ORF73	L	cluster_7	0.859661823593837	0.604688749972033	2.02736901258387	0.682430934306898
ORF74, ORF75, ORF76, ORF67 _2	L	cluster_5	0.626912470278075	0.209733355554317	14.6584705271034	-0.248700413500815
ORF8	L	cluster_2	0.866619198573395	0.704844601682056	4.98993394749325	0.611701203404231
ORF9	L	cluster_5	0.626912470278075	0.209733355554317	8.30333352275307	0.421279932532269
