gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
CTO	unknown	1h	1	RK-13	0	0		cluster_3
CTO	unknown	2h	2	RK-13	40	10.1488915650922	0.253722289127306	cluster_3
CTO	unknown	4h	4	RK-13	143.333333333333	2.3094010767585	0.0161121005355244	cluster_3
CTO	unknown	6h	6	RK-13	1297	31.0483493925201	0.0239385885832845	cluster_3
CTO	unknown	8h	8	RK-13	4450.33333333333	956.506839146137	0.214929257541638	cluster_3
CTO	unknown	12h	12	RK-13	13685.3333333333	1762.00151343106	0.128751084866845	cluster_3
CTO	unknown	18h	18	RK-13	10023.3333333333	1464.64341507868	0.146123386938345	cluster_3
CTO	unknown	24h	24	RK-13	6221.33333333333	1001.02014631741	0.160901223690111	cluster_3
CTO	unknown	48h	48	RK-13	10064.5	122.329473145273	0.0121545504640343	cluster_3
NOIR_1	unknown	1h	1	RK-13	0	0		cluster_5
NOIR_1	unknown	2h	2	RK-13	25.6666666666667	2.3094010767585	0.0899766653282534	cluster_5
NOIR_1	unknown	4h	4	RK-13	22.3333333333333	6.65832811847939	0.298134094857286	cluster_5
NOIR_1	unknown	6h	6	RK-13	135.333333333333	7.57187779440037	0.0559498359192145	cluster_5
NOIR_1	unknown	8h	8	RK-13	252.666666666667	69.1761037738707	0.273784051875478	cluster_5
NOIR_1	unknown	12h	12	RK-13	646	108	0.1671826625387	cluster_5
NOIR_1	unknown	18h	18	RK-13	682.666666666667	62.3244200400881	0.0912955371680978	cluster_5
NOIR_1	unknown	24h	24	RK-13	339.666666666667	36.2537354397217	0.106733274111055	cluster_5
NOIR_1	unknown	48h	48	RK-13	868	63.6396103067893	0.0733175233949185	cluster_5
NOIR_2	unknown	1h	1	RK-13	0	0		cluster_5
NOIR_2	unknown	2h	2	RK-13	25.6666666666667	2.3094010767585	0.0899766653282534	cluster_5
NOIR_2	unknown	4h	4	RK-13	22.3333333333333	6.65832811847939	0.298134094857286	cluster_5
NOIR_2	unknown	6h	6	RK-13	135.333333333333	7.57187779440037	0.0559498359192145	cluster_5
NOIR_2	unknown	8h	8	RK-13	252.333333333333	69.6156112760158	0.275887495149336	cluster_5
NOIR_2	unknown	12h	12	RK-13	645.666666666667	108.001543198851	0.167271362724086	cluster_5
NOIR_2	unknown	18h	18	RK-13	683	61.9919349593155	0.0907641800282803	cluster_5
NOIR_2	unknown	24h	24	RK-13	339.666666666667	36.2537354397217	0.106733274111055	cluster_5
NOIR_2	unknown	48h	48	RK-13	867	62.2253967444162	0.0717709305010567	cluster_5
ORF1	unknown	1h	1	RK-13	0	0		cluster_1
ORF1	unknown	2h	2	RK-13	49.6666666666667	11.8462370959446	0.238514840857944	cluster_1
ORF1	unknown	4h	4	RK-13	146.333333333333	23.0289672658878	0.157373352614268	cluster_1
ORF1	unknown	6h	6	RK-13	367.666666666667	34.6746785613556	0.0943100958151104	cluster_1
ORF1	unknown	8h	8	RK-13	445	101.207707216397	0.227433049924488	cluster_1
ORF1	unknown	12h	12	RK-13	798.666666666667	139.632851912912	0.17483245231166	cluster_1
ORF1	unknown	18h	18	RK-13	668.666666666667	58.6202467866976	0.087667368075819	cluster_1
ORF1	unknown	24h	24	RK-13	371.333333333333	48.2113402980392	0.129833052867251	cluster_1
ORF1	unknown	48h	48	RK-13	609	63.6396103067893	0.104498539091608	cluster_1
ORF10, ORF11	L	1h	1	RK-13	0	0		cluster_5
ORF10, ORF11	L	2h	2	RK-13	143	13.228756555323	0.0925087871001605	cluster_5
ORF10, ORF11	L	4h	4	RK-13	228	8.71779788708135	0.0382359556450936	cluster_5
ORF10, ORF11	L	6h	6	RK-13	1425.33333333333	30.4357246231026	0.0213534082949738	cluster_5
ORF10, ORF11	L	8h	8	RK-13	2190.33333333333	508.529579605094	0.232169949599038	cluster_5
ORF10, ORF11	L	12h	12	RK-13	4153.33333333333	893.202291383835	0.215056731472834	cluster_5
ORF10, ORF11	L	18h	18	RK-13	4684.33333333333	457.934857084862	0.0977588110193259	cluster_5
ORF10, ORF11	L	24h	24	RK-13	2372	394.551644274866	0.166337118159724	cluster_5
ORF10, ORF11	L	48h	48	RK-13	2945.5	102.530483272049	0.0348091947961465	cluster_5
ORF12, ORF13, ORF14	L	1h	1	RK-13	0	0		cluster_3
ORF12, ORF13, ORF14	L	2h	2	RK-13	42.3333333333333	3.21455025366432	0.0759342579605745	cluster_3
ORF12, ORF13, ORF14	L	4h	4	RK-13	270	22.5166604983954	0.0833950388829459	cluster_3
ORF12, ORF13, ORF14	L	6h	6	RK-13	2482	75.1065909225016	0.0302605120558024	cluster_3
ORF12, ORF13, ORF14	L	8h	8	RK-13	3548	1041.20747212071	0.293463210857021	cluster_3
ORF12, ORF13, ORF14	L	12h	12	RK-13	6855	1477.09546069305	0.215477091275426	cluster_3
ORF12, ORF13, ORF14	L	18h	18	RK-13	11272.6666666667	945.021340147054	0.0838329889538459	cluster_3
ORF12, ORF13, ORF14	L	24h	24	RK-13	6559.33333333333	1101.01831652944	0.167855216464495	cluster_3
ORF12, ORF13, ORF14	L	48h	48	RK-13	7253.5	405.172185619892	0.0558588523636716	cluster_3
ORF17	L	1h	1	RK-13	0	0		cluster_1
ORF17	L	2h	2	RK-13	39.3333333333333	10.9696551146029	0.278889536811938	cluster_1
ORF17	L	4h	4	RK-13	88.6666666666667	8.50490054811538	0.0959199309937825	cluster_1
ORF17	L	6h	6	RK-13	249.333333333333	22.300971578237	0.0894423993779558	cluster_1
ORF17	L	8h	8	RK-13	342.333333333333	79.7642359289759	0.233001662888927	cluster_1
