cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
cluster_1	0.2	187.933333333333	373.466666666667	605.066666666667	536.933333333333	1049.73333333333	1240	802.8	1222.2
cluster_10	0.333333333333333	115.333333333333	123.333333333333	231.666666666667	572.333333333333	3809.66666666667	15563.3333333333	14582.6666666667	28976
cluster_11	18.6666666666667	107	128	277.666666666667	462.333333333333	684.333333333333	449	209.333333333333	312
cluster_12	2.55555555555556	576.222222222222	1452.11111111111	4118	3784.33333333333	5014.55555555556	3088	1106.55555555556	1955.33333333333
cluster_2	0	2.52380952380952	17.5238095238095	439.761904761905	1244.42857142857	2979.66666666667	3554.95238095238	2088.66666666667	2471.21428571429
cluster_3	0.037037037037037	19.5925925925926	92.0740740740741	920.814814814815	1741.18518518519	4587.11111111111	5574.22222222222	3708.03703703704	5226.83333333333
cluster_4	0.333333333333333	120.166666666667	408.333333333333	1330.66666666667	1253.5	1590.33333333333	977.5	436.666666666667	616
cluster_5	0.2	126.633333333333	421.033333333333	2076.73333333333	2415	3787.26666666667	3141.63333333333	1369.3	1984.2
cluster_6	0	1	1	46	264.333333333333	14088.3333333333	34417.6666666667	20512.3333333333	16552.5
cluster_7	0	2.66666666666667	11.8333333333333	265.5	673.583333333333	3105.83333333333	9589.25	5305.75	9007.5
cluster_8	0.333333333333333	1.66666666666667	9	242	690	1720.33333333333	2829.33333333333	1088.66666666667	1348.5
cluster_9	0.666666666666667	3.44444444444444	26.5555555555556	1033.88888888889	3313.11111111111	10105.8888888889	8847	5683.55555555556	8050.66666666667
