gene	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
CTO	unknown	cluster_5	0.84255797364664	0.468941246055435	0.0441008679838226	0.359821057457686
NOIR_1	unknown	cluster_11	0.964639246505005	0.767365472354274	0	0
NOIR_2	unknown	cluster_3	0.997588260539837	0.98879382121023	0.0430964029960832	0.00522247463576264
ORF1	unknown	cluster_1	0.999861578494841	0.999307841098033	0.039476033640131	0.0112591887425401
ORF10	L	cluster_3	0.997588260539837	0.98879382121023	0.0365233903257174	0.372603102772097
ORF11	L	cluster_2	0.954344474711907	0.839222174749763	0.00567246934377047	0.436934104670707
ORF12	L	cluster_6	0.94475802413414	0.791275198205967	0.0452919844871287	0.532675238538598
ORF13	L	cluster_6	0.94475802413414	0.791275198205967	0.036420082777485	0.572943181027938
ORF14	L	cluster_2	0.954344474711907	0.839222174749763	0.00478105006917474	0.407553097725753
ORF15	unknown	cluster_6	0.94475802413414	0.791275198205967	0.231716101945299	0.168248045182755
ORF16	L	cluster_6	0.94475802413414	0.791275198205967	0.0209805083978708	0.610153995987439
ORF17	L	cluster_3	0.997588260539837	0.98879382121023	0.0495963880894689	0.553271638212658
ORF18	L	cluster_2	0.954344474711907	0.839222174749763	0.0470943837131301	0.0875098981560056
ORF19	L	cluster_7	0.949936132807969	0.814903194948321	0.00137286727440363	-0.16016838461787
ORF2	unknown	cluster_2	0.954344474711907	0.839222174749763	0.00474339264998682	0.496443386370815
ORF20	E	cluster_1	0.999861578494841	0.999307841098033	0.00958796486586808	0.651068532768893
ORF21	E	cluster_1	0.999861578494841	0.999307841098033	0.0461623879891023	0.391504374946808
ORF22	L	cluster_5	0.84255797364664	0.468941246055435	0.0468082437084253	0.517545870069691
ORF23	L	cluster_5	0.84255797364664	0.468941246055435	0.0682366835879832	0.380673521956696
ORF24	L	cluster_8	0.999458847621458	0.996330052979522	0.00113967722739639	0.393542840664795
ORF25	L	cluster_5	0.84255797364664	0.468941246055435	0.611620427442705	0.366774018816364
ORF26	L	cluster_2	0.954344474711907	0.839222174749763	0.00862390764143103	0.464208762624841
ORF27	L	cluster_9	0.974676660108417	0.831463113748437	0.00020476855225985	0.527907443370322
ORF28	L	cluster_2	0.954344474711907	0.839222174749763	0.0156438098476611	0.254240095995096
ORF29	L	cluster_2	0.954344474711907	0.839222174749763	0.0496939875813445	0.487074446719984
ORF3	L	cluster_2	0.954344474711907	0.839222174749763	0.00577728720963223	0.217466068807206
ORF30	E	cluster_3	0.997588260539837	0.98879382121023	0.0195005330413522	0.612738997549089
ORF31	E	cluster_1	0.999861578494841	0.999307841098033	0.119012201754107	0.325005948211373
ORF32	E	cluster_9	0.974676660108417	0.831463113748437	0.000263087902961806	0.516166615527605
ORF33	L	cluster_5	0.84255797364664	0.468941246055435	0.0608900019745576	0.422605816784996
