gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
ORF1	unknown	cluster_1	0	0.0117618656917605	0.00652191528285595	0.00203486150238659	0.00449613503107122	0.00280620105903185	0.00116647459184499	0.00102295379271294	0.00176208973726018
ORF2	unknown	cluster_2	0	0	0.000262938626645975	0.0017413951791258	0.00593495754051348	0.00465441945275135	0.0010451821163251	0.000761260324325003	0.00146819149979133
ORF3	L	cluster_2	0	0.000218866272707376	0.00270619228072333	0.00526952178901618	0.00795388532897567	0.00499449482510903	0.00170851504618037	0.00150553251871561	0.0009589389285123
ORF4	unknown	cluster_3	0	0.00328446842752481	0.00383652500168679	0.00246374027795407	0.00198911600680865	0.000972308963578585	0.000126482115887873	0.000183143477904758	0.000188302821988535
ORF5	E	cluster_1	0	0.0922556122655256	0.0684476085689648	0.0103951176828791	0.00778434979525971	0.00412835977430228	0.000558917518505376	0.000504557462265399	0.000564908465965605
ORF6	L	cluster_4	0.0476190476190476	0	0	0.000383927946235749	0.00268550416681579	0.00467345426884451	0.00234476849010693	0.0104446522215497	0.00419650066720032
ORF7	E	cluster_3	0	0.000556932533694529	0.000327873035313329	0	0.000184261883266097	0.000133814717468125	0	1.14962349830431e-05	2.28880089720995e-05
ORF8	L	cluster_5	0	0	0.000525877253291951	0.00304884271506882	0.00461129442279727	0.00384473100302868	0.00185373466278775	0.00260611045625907	0.00216261863757155
ORF9	L	cluster_3	0	0.00387486877884757	0.00585825480849848	0.00524689248313482	0.00643782359811638	0.00240858893539233	0.000534984464755418	0.000371722291758946	0.000466075928440698
ORF10	L	cluster_1	0	0.0112220356511086	0.00473836490127066	0.000597533443935272	0.00199825883833086	0.00161764589724987	0.000983279932317331	0.00259584488599183	0.00373796968058686
ORF11	L	cluster_2	0	0.00111143385657954	0.00085375028860528	0.00448805439727092	0.00998089066430443	0.0067450141885615	0.00241450011102898	0.00260448656356243	0.00341182118108463
ORF12	L	cluster_5	0	0	0.000232450023245002	0.000771094550679963	0.00284912039787337	0.00810241788033817	0.00853091436398603	0.0200411158260117	0.0164234404044161
ORF13	L	cluster_5	0	0	0	0	0.000481415070300191	0.00200584766548628	0.00081966291375751	0.00542196677672023	0.00313924682484421
ORF14	L	cluster_2	0	0.00124699916944489	0.0014621629581422	0.000821114247626992	0.00620989029023827	0.00340912476850447	0.000774243509052311	0.0015000196414447	0.00118157376395898
