gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF1	unknown	1h	1	RK-13	0	0		cluster_1
ORF1	unknown	2h	2	RK-13	0.00609499425726982	0.00120761405379252	0.198132106909229	cluster_1
ORF1	unknown	4h	4	RK-13	0.00366690627856761	0.000116885971792376	0.0318759092577722	cluster_1
ORF1	unknown	6h	6	RK-13	0.00116030630885707	0.000179326022136912	0.154550587864641	cluster_1
ORF1	unknown	8h	8	RK-13	0.00180999508447678	0.000134898316575302	0.0745296590760064	cluster_1
ORF1	unknown	12h	12	RK-13	0.00128648183162665	6.86856842732137e-05	0.0533903259141765	cluster_1
ORF1	unknown	18h	18	RK-13	0.000522005295199536	1.3272743989653e-05	0.0254264546963638	cluster_1
ORF1	unknown	24h	24	RK-13	0.00051665663749267	4.21654314698636e-05	0.0816120967195776	cluster_1
ORF1	unknown	48h	48	RK-13	0.000674644656766742	7.034355990861e-05	0.104267571384518	cluster_1
ORF2	unknown	1h	1	RK-13	0	0		cluster_2
ORF2	unknown	2h	2	RK-13	0	0		cluster_2
ORF2	unknown	4h	4	RK-13	4.76164035268427e-05	4.14836756878794e-05	0.871205563950118	cluster_2
ORF2	unknown	6h	6	RK-13	0.000761494521754238	0.000145812864650109	0.191482486721248	cluster_2
ORF2	unknown	8h	8	RK-13	0.00262048007925226	0.000396539798039818	0.151323340016753	cluster_2
ORF2	unknown	12h	12	RK-13	0.00232101568100112	7.27475037248203e-05	0.0313429608943625	cluster_2
ORF2	unknown	18h	18	RK-13	0.000472174057180444	4.06871274353371e-05	0.0861697647649207	cluster_2
ORF2	unknown	24h	24	RK-13	0.000340540902473445	1.9380237530974e-05	0.0569101608359226	cluster_2
ORF2	unknown	48h	48	RK-13	0.000685995928191753	3.5082278222482e-05	0.0511406508125449	cluster_2
ORF3	L	1h	1	RK-13	0	0		cluster_2
ORF3	L	2h	2	RK-13	6.63746183459445e-05	0.000114964211308169	1.73205080756888	cluster_2
ORF3	L	4h	4	RK-13	0.000547511850358637	0.000224047458580938	0.409210245283605	cluster_2
ORF3	L	6h	6	RK-13	0.00147657427346169	0.000146697985092862	0.0993502241840784	cluster_2
ORF3	L	8h	8	RK-13	0.00236214220722895	0.000242230172928703	0.102546820503608	cluster_2
ORF3	L	12h	12	RK-13	0.00174281234841225	0.000147661497853698	0.0847259878484457	cluster_2
ORF3	L	18h	18	RK-13	0.000403941832148806	5.98182378478902e-05	0.14808626660349	cluster_2
ORF3	L	24h	24	RK-13	0.00043158984800675	6.45268848252271e-05	0.149509737365782	cluster_2
ORF3	L	48h	48	RK-13	0.000381686749220591	5.31798652627855e-05	0.139328560321728	cluster_2
ORF4	unknown	1h	1	RK-13	0.00980392156862745	0.0169808902702831	1.73205080756888	cluster_3
ORF4	unknown	2h	2	RK-13	0.00290716591267694	0.000631621384708956	0.217263618135696	cluster_3
ORF4	unknown	4h	4	RK-13	0.00242145537293276	0.000727576675209513	0.300470817402802	cluster_3
