gene	cluster	si	au	bp	se.si	se.au	se.bp	v	c	pchi	neighbor	sil_width	gene_order	gene_to_centroid_dist	scaled_dist
CTO	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	2	0.345418847442817	10	0.0416656112008273	0.0682447149161956
NOIR_1	11	0.993146819724335	0.999144712520598	0.797784768549957	0.00159288028189738	0.000254147849941201	0.00453719541048395	-1.98504874514649	1.15131397982916	0.203301268994609	9	0	1	0	0
NOIR_2	3	0.998139486859117	0.999774333083025	0.879199586412525	0.000544789474089088	8.19921219018758e-05	0.00380791848563493	-2.33954318655205	1.16854828665146	0.376504068123419	1	0.0124143885567677	8	0.0430959533205492	0.0705874932261682
ORF1	1	0.999426740546421	0.999908999897391	0.959375696063335	0.000246901539957687	4.66412861623589e-05	0.0024621351301516	-2.74313022289876	0.999643364597648	0.11193680765645	3	0.00359325728286911	10	0.039450312614654	0.0646162449115447
ORF10	3	0.998139486859117	0.999774333083025	0.879199586412525	0.000544789474089088	8.19921219018758e-05	0.00380791848563493	-2.33954318655205	1.16854828665146	0.376504068123419	1	0.399246223551928	5	0.0364448123511715	0.0596934920045181
ORF11	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	5	0.414027875494876	5	0.00634842437484255	0.0103981772771776
ORF12	6	0.936128137193438	0.993081391550188	0.496185781347612	0.0103410191108545	0.00157923646345643	0.0053600806004678	-1.22595036524079	1.23551133922348	0.836797741858204	5	0.615227865834101	5	0.0435122725330919	0.0712693885627604
ORF13	6	0.936128137193438	0.993081391550188	0.496185781347612	0.0103410191108545	0.00157923646345643	0.0053600806004678	-1.22595036524079	1.23551133922348	0.836797741858204	5	0.656540571785513	3	0.0359441132279309	0.0588733895761714
ORF14	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	5	0.396089163748369	6	0.0042943483752014	0.00703377610864443
ORF15	6	0.936128137193438	0.993081391550188	0.496185781347612	0.0103410191108545	0.00157923646345643	0.0053600806004678	-1.22595036524079	1.23551133922348	0.836797741858204	5	0.287749687885753	12	0.228697809811125	0.374587492723703
ORF16	6	0.936128137193438	0.993081391550188	0.496185781347612	0.0103410191108545	0.00157923646345643	0.0053600806004678	-1.22595036524079	1.23551133922348	0.836797741858204	5	0.714957690118846	1	0.0205399476519144	0.0336426811343799
ORF17	3	0.998139486859117	0.999774333083025	0.879199586412525	0.000544789474089088	8.19921219018758e-05	0.00380791848563493	-2.33954318655205	1.16854828665146	0.376504068123419	1	0.558674976195834	4	0.0495934951759851	0.0812299122091271
ORF18	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	7	0.0957879071297326	14	0.0478882722048002	0.0784369025260062
ORF19	7	0.995050175963303	0.999382660180742	0.823119665226805	0.0012200615749315	0.000192846627000585	0.00434554541893294	-2.07903233914323	1.1517128329772	0.463550039648378	2	-0.13537870537655	3	0.00137091148550416	0.00224543600362958
ORF2	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	5	0.534079985846182	1	0.00386981203040228	0.00633842181076234
ORF20	1	0.999426740546421	0.999908999897391	0.959375696063335	0.000246901539957687	4.66412861623589e-05	0.0024621351301516	-2.74313022289876	0.999643364597648	0.11193680765645	3	0.651002283616617	3	0.00958790819746843	0.0157041752831864
ORF21	1	0.999426740546421	0.999908999897391	0.959375696063335	0.000246901539957687	4.66412861623589e-05	0.0024621351301516	-2.74313022289876	0.999643364597648	0.11193680765645	3	0.39076174997546	7	0.0461169593029091	0.0755356431772764
ORF22	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	2	0.534070356044157	5	0.0465749645641118	0.0762858167035986
ORF23	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	2	0.407317343234172	7	0.0676370891996532	0.110783779168466
ORF24	8	0.826954973040008	0.960077003781441	0.609705159712237	0.0209797533730974	0.00676086425878007	0.00522560446392186	-1.01506551008445	0.736514848176471	0.581381553889031	5	0.401486439400019	2	8.05608643421861e-05	0.000131951819785753
ORF25	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	6	0.323590434105705	11	0.610532423675483	1
ORF26	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	5	0.458201276453773	3	0.00776114076784511	0.0127120861511696
ORF27	9	0.364497868809889	0.839589659031933	0.366534735113637	0.0472966570097208	0.0195992556809416	0.00507206926607296	-0.325863750274592	0.666909062390706	0.971154607188146	11	0.53424074365664	1	0.00020330742674037	0.000333000212366172
ORF28	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	5	0.313458156986133	9	0.0147309999461744	0.0241281205959413
ORF29	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	7	0.479318048854572	2	0.0504123712253763	0.0825711612855668
ORF3	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	7	0.202627884936383	11	0.0063627997374714	0.010421722894202
ORF30	3	0.998139486859117	0.999774333083025	0.879199586412525	0.000544789474089088	8.19921219018758e-05	0.00380791848563493	-2.33954318655205	1.16854828665146	0.376504068123419	1	0.61800887669512	3	0.019497346118411	0.0319349888103149
ORF31	1	0.999426740546421	0.999908999897391	0.959375696063335	0.000246901539957687	4.66412861623589e-05	0.0024621351301516	-2.74313022289876	0.999643364597648	0.11193680765645	3	0.323736523736891	8	0.119010740774992	0.194929435620359
ORF32	9	0.364497868809889	0.839589659031933	0.366534735113637	0.0472966570097208	0.0195992556809416	0.00507206926607296	-0.325863750274592	0.666909062390706	0.971154607188146	11	0.515346917788183	2	0.000262804456065988	0.000430451268228919
ORF33	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	6	0.348908406027513	9	0.0605382633336015	0.0991565082967312
ORF34	1	0.999426740546421	0.999908999897391	0.959375696063335	0.000246901539957687	4.66412861623589e-05	0.0024621351301516	-2.74313022289876	0.999643364597648	0.11193680765645	3	0.633114771985093	4	0.21575869008669	0.353394318990948
ORF35	6	0.936128137193438	0.993081391550188	0.496185781347612	0.0103410191108545	0.00157923646345643	0.0053600806004678	-1.22595036524079	1.23551133922348	0.836797741858204	5	0.507648381719247	8	0.0435549880919001	0.0713393530022427
ORF35.5	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	6	0.597373405390457	4	0.0488057582931948	0.0799396664297989
ORF36	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	2	-0.0112165787197898	14	0.0645770001575897	0.105771614501369
ORF37	7	0.995050175963303	0.999382660180742	0.823119665226805	0.0012200615749315	0.000192846627000585	0.00434554541893294	-2.07903233914323	1.1517128329772	0.463550039648378	1	0.124377555874882	2	0.000914490920897546	0.00149785807507518
ORF38	1	0.999426740546421	0.999908999897391	0.959375696063335	0.000246901539957687	4.66412861623589e-05	0.0024621351301516	-2.74313022289876	0.999643364597648	0.11193680765645	7	0.594750479187856	5	0.0503546587779895	0.0824766332226027
ORF39	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	5	0.166523387754366	12	0.010953775084428	0.017941348664965
ORF4	1	0.999426740546421	0.999908999897391	0.959375696063335	0.000246901539957687	4.66412861623589e-05	0.0024621351301516	-2.74313022289876	0.999643364597648	0.11193680765645	3	0.651831704072864	2	0.0536925703142812	0.0879438474226235
ORF40	2	0.948057042290077	0.989497942016842	0.738986003078185	0.0085539492339147	0.00227860523898932	0.00479163477727957	-1.47406646242125	0.833844019134535	0.0323727151893592	5	0.318441942662608	8	0.00757414891071769	0.0124058094492678
ORF41	6	0.936128137193438	0.993081391550188	0.496185781347612	0.0103410191108545	0.00157923646345643	0.0053600806004678	-1.22595036524079	1.23551133922348	0.836797741858204	5	0.483606423094186	10	0.0434841179753875	0.07122327380028
ORF42	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	6	0.349611469897909	8	0.0604330784740846	0.0989842244745491
ORF43	5	0.636952188127405	0.869262522083408	0.657844361955207	0.0324830224083134	0.0166244865386508	0.0050459371322692	-0.764749447718598	0.358162351403318	0.00389137724998164	2	0.702635429635816	1	0.0345265840462251	0.0565515977650632
