gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	best_label	labels	rep	rep_gene
CTO	unknown	1h	1	RK-13	NC_001491.2	-	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	2	2	1	CTO::1
CTO	unknown	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	2	2	2	CTO::2
CTO	unknown	1h	1	RK-13	NC_001491.2	-	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	2	2	3	CTO::3
CTO	unknown	2h	2	RK-13	NC_001491.2	-	1972	EHV-1_2h_1	RK-13_2h	0.0050709939148073	0.00392787030032798	0.00287549665755174	0.732075256484828	0.00114312361447932	FALSE	NA	2	2	1	CTO::1
CTO	unknown	2h	2	RK-13	NC_001491.2	-	1523	EHV-1_2h_2	RK-13_2h	0.000656598818122127	0.00392787030032798	0.00287549665755174	0.732075256484828	0.00327127148220585	TRUE	2	2	2	2	CTO::2
CTO	unknown	2h	2	RK-13	NC_001491.2	-	1321	EHV-1_2h_3	RK-13_2h	0.0060560181680545	0.00392787030032798	0.00287549665755174	0.732075256484828	0.00212814786772653	FALSE	NA	2	2	3	CTO::3
CTO	unknown	4h	4	RK-13	NC_001491.2	-	1840	EHV-1_4h_1	RK-13_4h	0.00706521739130435	0.00559607239174135	0.00127247329975677	0.227386854686632	0.001469144999563	TRUE	1	2	2	1	CTO::1
CTO	unknown	4h	4	RK-13	NC_001491.2	-	2272	EHV-1_4h_2	RK-13_4h	0.00484154929577465	0.00559607239174135	0.00127247329975677	0.227386854686632	0.000754523095966701	FALSE	NA	2	2	2	CTO::2
CTO	unknown	4h	4	RK-13	NC_001491.2	-	2868	EHV-1_4h_3	RK-13_4h	0.00488145048814505	0.00559607239174135	0.00127247329975677	0.227386854686632	0.0007146219035963	FALSE	NA	2	2	3	CTO::3
CTO	unknown	6h	6	RK-13	NC_001491.2	-	12998	EHV-1_6h_1	RK-13_6h	0.0105400830897061	0.0102944164592654	0.00036607828190332	0.035560858000245	0.000245666630440752	FALSE	NA	2	2	1	CTO::1
CTO	unknown	6h	6	RK-13	NC_001491.2	-	12226	EHV-1_6h_2	RK-13_6h	0.0104694912481597	0.0102944164592654	0.00036607828190332	0.035560858000245	0.000175074788894303	FALSE	NA	2	2	2	CTO::2
CTO	unknown	6h	6	RK-13	NC_001491.2	-	13774	EHV-1_6h_3	RK-13_6h	0.0098736750399303	0.0102944164592654	0.00036607828190332	0.035560858000245	0.000420741419335053	TRUE	3	2	2	3	CTO::3
CTO	unknown	8h	8	RK-13	NC_001491.2	-	13636	EHV-1_8h_1	RK-13_8h	0.0272807274860663	0.0272119524581736	0.000896747585285395	0.0329541802141448	6.87750278926882e-05	FALSE	NA	2	2	1	CTO::1
CTO	unknown	8h	8	RK-13	NC_001491.2	-	19521	EHV-1_8h_2	RK-13_8h	0.0280723323600225	0.0272119524581736	0.000896747585285395	0.0329541802141448	0.00086037990184893	FALSE	NA	2	2	2	CTO::2
CTO	unknown	8h	8	RK-13	NC_001491.2	-	22334	EHV-1_8h_3	RK-13_8h	0.026282797528432	0.0272119524581736	0.000896747585285395	0.0329541802141448	0.000929154929741622	TRUE	3	2	2	3	CTO::3
CTO	unknown	12h	12	RK-13	NC_001491.2	-	64872	EHV-1_12h_1	RK-13_12h	0.030614132445431	0.0326416902699129	0.00177174910592774	0.0542787181447165	0.00202755782448192	TRUE	1	2	2	1	CTO::1
CTO	unknown	12h	12	RK-13	NC_001491.2	-	44286	EHV-1_12h_2	RK-13_12h	0.0334191392313598	0.0326416902699129	0.00177174910592774	0.0542787181447165	0.000777448961446867	FALSE	NA	2	2	2	CTO::2
CTO	unknown	12h	12	RK-13	NC_001491.2	-	44288	EHV-1_12h_3	RK-13_12h	0.033891799132948	0.0326416902699129	0.00177174910592774	0.0542787181447165	0.00125010886303505	FALSE	NA	2	2	3	CTO::3
CTO	unknown	18h	18	RK-13	NC_001491.2	-	54584	EHV-1_18h_1	RK-13_18h	0.0178806976403342	0.014813837472144	0.00290625542602139	0.196185183716665	0.00306686016819015	TRUE	1	2	2	1	CTO::1
CTO	unknown	18h	18	RK-13	NC_001491.2	-	37519	EHV-1_18h_2	RK-13_18h	0.0121005357285642	0.014813837472144	0.00290625542602139	0.196185183716665	0.00271330174357982	FALSE	NA	2	2	2	CTO::2
CTO	unknown	18h	18	RK-13	NC_001491.2	-	33471	EHV-1_18h_3	RK-13_18h	0.0144602790475337	0.014813837472144	0.00290625542602139	0.196185183716665	0.000353558424610328	FALSE	NA	2	2	3	CTO::3
CTO	unknown	24h	24	RK-13	NC_001491.2	-	44330	EHV-1_24h_1	RK-13_24h	0.0165801939995488	0.0159050110501503	0.000975016672977216	0.0613024832175771	0.000675182949398553	FALSE	NA	2	2	1	CTO::1
CTO	unknown	24h	24	RK-13	NC_001491.2	-	31108	EHV-1_24h_2	RK-13_24h	0.0147871930050148	0.0159050110501503	0.000975016672977216	0.0613024832175771	0.0011178180451355	TRUE	2	2	2	2	CTO::2
CTO	unknown	24h	24	RK-13	NC_001491.2	-	28995	EHV-1_24h_3	RK-13_24h	0.0163476461458872	0.0159050110501503	0.000975016672977216	0.0613024832175771	0.000442635095736939	FALSE	NA	2	2	3	CTO::3
CTO	unknown	48h	48	RK-13	NC_001491.2	-	62015	EHV-1_48h_1	RK-13_48h	0.0168346367814238	0.0199515784675121	0.00403093472292231	0.202035880493667	0.00311694168608829	FALSE	NA	2	2	1	CTO::1
CTO	unknown	48h	48	RK-13	NC_001491.2	-	43691	EHV-1_48h_2	RK-13_48h	0.0185163992584285	0.0199515784675121	0.00403093472292231	0.202035880493667	0.00143517920908363	FALSE	NA	2	2	2	CTO::2
CTO	unknown	48h	48	RK-13	NC_001491.2	-	27302	EHV-1_48h_3	RK-13_48h	0.0245036993626841	0.0199515784675121	0.00403093472292231	0.202035880493667	0.00455212089517191	TRUE	3	2	2	3	CTO::3
NOIR_1	unknown	1h	1	RK-13	NC_001491.2	+	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	1	1	1	NOIR_1::1
NOIR_1	unknown	1h	1	RK-13	NC_001491.2	+	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	1	1	2	NOIR_1::2
NOIR_1	unknown	1h	1	RK-13	NC_001491.2	+	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	1	1	3	NOIR_1::3
NOIR_1	unknown	2h	2	RK-13	NC_001491.2	+	1972	EHV-1_2h_1	RK-13_2h	0.00050709939148073	0.000169033130493577	0.000292773970177295	1.73205080756888	0.000338066260987153	TRUE	1	1	1	1	NOIR_1::1
NOIR_1	unknown	2h	2	RK-13	NC_001491.2	+	1523	EHV-1_2h_2	RK-13_2h	0	0.000169033130493577	0.000292773970177295	1.73205080756888	0.000169033130493577	FALSE	NA	1	1	2	NOIR_1::2
NOIR_1	unknown	2h	2	RK-13	NC_001491.2	+	1321	EHV-1_2h_3	RK-13_2h	0	0.000169033130493577	0.000292773970177295	1.73205080756888	0.000169033130493577	FALSE	NA	1	1	3	NOIR_1::3
NOIR_1	unknown	4h	4	RK-13	NC_001491.2	+	1840	EHV-1_4h_1	RK-13_4h	0.000543478260869565	0.000327873035313329	0.000288609079621887	0.88024646292148	0.000215605225556236	FALSE	NA	1	1	1	NOIR_1::1
NOIR_1	unknown	4h	4	RK-13	NC_001491.2	+	2272	EHV-1_4h_2	RK-13_4h	0.000440140845070423	0.000327873035313329	0.000288609079621887	0.88024646292148	0.000112267809757093	FALSE	NA	1	1	2	NOIR_1::2
NOIR_1	unknown	4h	4	RK-13	NC_001491.2	+	2868	EHV-1_4h_3	RK-13_4h	0	0.000327873035313329	0.000288609079621887	0.88024646292148	0.000327873035313329	TRUE	3	1	1	3	NOIR_1::3
NOIR_1	unknown	6h	6	RK-13	NC_001491.2	+	12998	EHV-1_6h_1	RK-13_6h	0.000230804739190645	0.000125335280906344	0.00011667774033445	0.930924951783021	0.000105469458284301	FALSE	NA	1	1	1	NOIR_1::1
NOIR_1	unknown	6h	6	RK-13	NC_001491.2	+	12226	EHV-1_6h_2	RK-13_6h	0	0.000125335280906344	0.00011667774033445	0.930924951783021	0.000125335280906344	TRUE	2	1	1	2	NOIR_1::2
NOIR_1	unknown	6h	6	RK-13	NC_001491.2	+	13774	EHV-1_6h_3	RK-13_6h	0.000145201103528387	0.000125335280906344	0.00011667774033445	0.930924951783021	1.9865822622043e-05	FALSE	NA	1	1	3	NOIR_1::3
NOIR_1	unknown	8h	8	RK-13	NC_001491.2	+	13636	EHV-1_8h_1	RK-13_8h	7.33352889410384e-05	4.15207242698976e-05	3.76187892100982e-05	0.906024397974477	3.18145646711409e-05	FALSE	NA	1	1	1	NOIR_1::1
NOIR_1	unknown	8h	8	RK-13	NC_001491.2	+	19521	EHV-1_8h_2	RK-13_8h	5.12268838686543e-05	4.15207242698976e-05	3.76187892100982e-05	0.906024397974477	9.70615959875671e-06	FALSE	NA	1	1	2	NOIR_1::2
NOIR_1	unknown	8h	8	RK-13	NC_001491.2	+	22334	EHV-1_8h_3	RK-13_8h	0	4.15207242698976e-05	3.76187892100982e-05	0.906024397974477	4.15207242698976e-05	TRUE	3	1	1	3	NOIR_1::3
NOIR_1	unknown	12h	12	RK-13	NC_001491.2	+	64872	EHV-1_12h_1	RK-13_12h	6.16598840794179e-05	7.3239767198836e-05	1.50994689292809e-05	0.206164895203557	1.15798831194181e-05	FALSE	NA	1	1	1	NOIR_1::1
NOIR_1	unknown	12h	12	RK-13	NC_001491.2	+	44286	EHV-1_12h_2	RK-13_12h	6.77414984419455e-05	7.3239767198836e-05	1.50994689292809e-05	0.206164895203557	5.49826875689045e-06	FALSE	NA	1	1	2	NOIR_1::2
NOIR_1	unknown	12h	12	RK-13	NC_001491.2	+	44288	EHV-1_12h_3	RK-13_12h	9.03179190751445e-05	7.3239767198836e-05	1.50994689292809e-05	0.206164895203557	1.70781518763085e-05	TRUE	3	1	1	3	NOIR_1::3
NOIR_1	unknown	18h	18	RK-13	NC_001491.2	+	54584	EHV-1_18h_1	RK-13_18h	7.32815477062876e-05	7.09980847013759e-05	1.02948515762285e-05	0.145001821098831	2.28346300491166e-06	FALSE	NA	1	1	1	NOIR_1::1
NOIR_1	unknown	18h	18	RK-13	NC_001491.2	+	37519	EHV-1_18h_2	RK-13_18h	7.99594871931555e-05	7.09980847013759e-05	1.02948515762285e-05	0.145001821098831	8.96140249177958e-06	FALSE	NA	1	1	2	NOIR_1::2
NOIR_1	unknown	18h	18	RK-13	NC_001491.2	+	33471	EHV-1_18h_3	RK-13_18h	5.97532192046847e-05	7.09980847013759e-05	1.02948515762285e-05	0.145001821098831	1.12448654966912e-05	TRUE	3	1	1	3	NOIR_1::3
NOIR_1	unknown	24h	24	RK-13	NC_001491.2	+	44330	EHV-1_24h_1	RK-13_24h	6.76742612226483e-05	6.69812715403237e-05	2.41828582478744e-06	0.0361039103793603	6.92989682324672e-07	FALSE	NA	1	1	1	NOIR_1::1
NOIR_1	unknown	24h	24	RK-13	NC_001491.2	+	31108	EHV-1_24h_2	RK-13_24h	6.42921435000643e-05	6.69812715403237e-05	2.41828582478744e-06	0.0361039103793603	2.68912804025936e-06	TRUE	2	1	1	2	NOIR_1::2
NOIR_1	unknown	24h	24	RK-13	NC_001491.2	+	28995	EHV-1_24h_3	RK-13_24h	6.89774098982583e-05	6.69812715403237e-05	2.41828582478744e-06	0.0361039103793603	1.99613835793467e-06	FALSE	NA	1	1	3	NOIR_1::3
NOIR_1	unknown	48h	48	RK-13	NC_001491.2	+	62015	EHV-1_48h_1	RK-13_48h	0.000112875917116827	0.000107819559188108	3.23345561674717e-05	0.299895087783275	5.05635792871867e-06	FALSE	NA	1	1	1	NOIR_1::1
NOIR_1	unknown	48h	48	RK-13	NC_001491.2	+	43691	EHV-1_48h_2	RK-13_48h	0.000137328053832597	0.000107819559188108	3.23345561674717e-05	0.299895087783275	2.95084946444892e-05	FALSE	NA	1	1	2	NOIR_1::2
NOIR_1	unknown	48h	48	RK-13	NC_001491.2	+	27302	EHV-1_48h_3	RK-13_48h	7.32547066149e-05	0.000107819559188108	3.23345561674717e-05	0.299895087783275	3.45648525732079e-05	TRUE	3	1	1	3	NOIR_1::3
NOIR_2	unknown	1h	1	RK-13	NC_001491.2	-	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	1	1	1	NOIR_2::1
NOIR_2	unknown	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	1	1	2	NOIR_2::2
NOIR_2	unknown	1h	1	RK-13	NC_001491.2	-	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	1	1	3	NOIR_2::3
NOIR_2	unknown	2h	2	RK-13	NC_001491.2	-	1972	EHV-1_2h_1	RK-13_2h	0.00659229208924949	0.00766643659785311	0.00188329863982255	0.245655020528044	0.00107414450860362	FALSE	NA	1	1	1	NOIR_2::1
NOIR_2	unknown	2h	2	RK-13	NC_001491.2	-	1523	EHV-1_2h_2	RK-13_2h	0.00656598818122127	0.00766643659785311	0.00188329863982255	0.245655020528044	0.00110044841663184	FALSE	NA	1	1	2	NOIR_2::2
NOIR_2	unknown	2h	2	RK-13	NC_001491.2	-	1321	EHV-1_2h_3	RK-13_2h	0.00984102952308857	0.00766643659785311	0.00188329863982255	0.245655020528044	0.00217459292523546	TRUE	3	1	1	3	NOIR_2::3
NOIR_2	unknown	4h	4	RK-13	NC_001491.2	-	1840	EHV-1_4h_1	RK-13_4h	0.00108695652173913	0.00252107565856807	0.00137814324548927	0.546648903933346	0.00143411913682894	TRUE	1	1	1	1	NOIR_2::1
NOIR_2	unknown	4h	4	RK-13	NC_001491.2	-	2272	EHV-1_4h_2	RK-13_4h	0.00264084507042254	0.00252107565856807	0.00137814324548927	0.546648903933346	0.000119769411854467	FALSE	NA	1	1	2	NOIR_2::2
NOIR_2	unknown	4h	4	RK-13	NC_001491.2	-	2868	EHV-1_4h_3	RK-13_4h	0.00383542538354254	0.00252107565856807	0.00137814324548927	0.546648903933346	0.00131434972497447	FALSE	NA	1	1	3	NOIR_2::3
NOIR_2	unknown	6h	6	RK-13	NC_001491.2	-	12998	EHV-1_6h_1	RK-13_6h	0.00230804739190645	0.00260093448860339	0.000377035033870729	0.144961372738451	0.000292887096696945	FALSE	NA	1	1	1	NOIR_2::1
NOIR_2	unknown	6h	6	RK-13	NC_001491.2	-	12226	EHV-1_6h_2	RK-13_6h	0.00302633731392115	0.00260093448860339	0.000377035033870729	0.144961372738451	0.00042540282531776	TRUE	2	1	1	2	NOIR_2::2
NOIR_2	unknown	6h	6	RK-13	NC_001491.2	-	13774	EHV-1_6h_3	RK-13_6h	0.00246841875998258	0.00260093448860339	0.000377035033870729	0.144961372738451	0.000132515728620816	FALSE	NA	1	1	3	NOIR_2::3
NOIR_2	unknown	8h	8	RK-13	NC_001491.2	-	13636	EHV-1_8h_1	RK-13_8h	0.00234672924611323	0.00249117672931736	0.000475727504510895	0.190964976074281	0.000144447483204131	FALSE	NA	1	1	1	NOIR_2::1
NOIR_2	unknown	8h	8	RK-13	NC_001491.2	-	19521	EHV-1_8h_2	RK-13_8h	0.0030223861482506	0.00249117672931736	0.000475727504510895	0.190964976074281	0.000531209418933241	TRUE	2	1	1	2	NOIR_2::2
NOIR_2	unknown	8h	8	RK-13	NC_001491.2	-	22334	EHV-1_8h_3	RK-13_8h	0.00210441479358825	0.00249117672931736	0.000475727504510895	0.190964976074281	0.00038676193572911	FALSE	NA	1	1	3	NOIR_2::3
NOIR_2	unknown	12h	12	RK-13	NC_001491.2	-	64872	EHV-1_12h_1	RK-13_12h	0.0017264767542237	0.00180233852430285	6.6668284073734e-05	0.0369898790791932	7.586177007915e-05	TRUE	1	1	1	1	NOIR_2::1
NOIR_2	unknown	12h	12	RK-13	NC_001491.2	-	44286	EHV-1_12h_2	RK-13_12h	0.00185160095741318	0.00180233852430285	6.6668284073734e-05	0.0369898790791932	4.92624331103258e-05	FALSE	NA	1	1	2	NOIR_2::2
NOIR_2	unknown	12h	12	RK-13	NC_001491.2	-	44288	EHV-1_12h_3	RK-13_12h	0.00182893786127168	0.00180233852430285	6.6668284073734e-05	0.0369898790791932	2.65993369688241e-05	FALSE	NA	1	1	3	NOIR_2::3
NOIR_2	unknown	18h	18	RK-13	NC_001491.2	-	54584	EHV-1_18h_1	RK-13_18h	0.000879378572475451	0.000756686247348201	0.0001900409402744	0.251148928555787	0.000122692325127249	FALSE	NA	1	1	1	NOIR_2::1
NOIR_2	unknown	18h	18	RK-13	NC_001491.2	-	37519	EHV-1_18h_2	RK-13_18h	0.000852901196726992	0.000756686247348201	0.0001900409402744	0.251148928555787	9.62149493787902e-05	FALSE	NA	1	1	2	NOIR_2::2
NOIR_2	unknown	18h	18	RK-13	NC_001491.2	-	33471	EHV-1_18h_3	RK-13_18h	0.000537778972842162	0.000756686247348201	0.0001900409402744	0.251148928555787	0.00021890727450604	TRUE	3	1	1	3	NOIR_2::3
NOIR_2	unknown	24h	24	RK-13	NC_001491.2	-	44330	EHV-1_24h_1	RK-13_24h	0.000744416873449132	0.000866940029409753	0.00014612906612522	0.168557294816241	0.000122523155960622	FALSE	NA	1	1	1	NOIR_2::1
NOIR_2	unknown	24h	24	RK-13	NC_001491.2	-	31108	EHV-1_24h_2	RK-13_24h	0.00102867429600103	0.000866940029409753	0.00014612906612522	0.168557294816241	0.000161734266591275	TRUE	2	1	1	2	NOIR_2::2
NOIR_2	unknown	24h	24	RK-13	NC_001491.2	-	28995	EHV-1_24h_3	RK-13_24h	0.0008277289187791	0.000866940029409753	0.00014612906612522	0.168557294816241	3.92111106306536e-05	FALSE	NA	1	1	3	NOIR_2::3
NOIR_2	unknown	48h	48	RK-13	NC_001491.2	-	62015	EHV-1_48h_1	RK-13_48h	0.00166088849471902	0.0013364560760036	0.000358042783799889	0.267904639911956	0.000324432418715423	FALSE	NA	1	1	1	NOIR_2::1
NOIR_2	unknown	48h	48	RK-13	NC_001491.2	-	43691	EHV-1_48h_2	RK-13_48h	0.00139616854729807	0.0013364560760036	0.000358042783799889	0.267904639911956	5.97124712944737e-05	FALSE	NA	1	1	2	NOIR_2::2
NOIR_2	unknown	48h	48	RK-13	NC_001491.2	-	27302	EHV-1_48h_3	RK-13_48h	0.0009523111859937	0.0013364560760036	0.000358042783799889	0.267904639911956	0.000384144890009897	TRUE	3	1	1	3	NOIR_2::3
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	1	1	1	ORF1::1
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	1	1	2	ORF1::2
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	1	1	3	ORF1::3
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1972	EHV-1_2h_1	RK-13_2h	0.0101419878296146	0.0117618656917605	0.0018570228340988	0.15788505690893	0.00161987786214589	FALSE	NA	1	1	1	ORF1::1
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1523	EHV-1_2h_2	RK-13_2h	0.0137885751805647	0.0117618656917605	0.0018570228340988	0.15788505690893	0.00202670948880418	TRUE	2	1	1	2	ORF1::2
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1321	EHV-1_2h_3	RK-13_2h	0.0113550340651022	0.0117618656917605	0.0018570228340988	0.15788505690893	0.000406831626658296	FALSE	NA	1	1	3	ORF1::3
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	1840	EHV-1_4h_1	RK-13_4h	0.00652173913043478	0.00652191528285595	0.000800172387693067	0.12268978559051	1.76152421167003e-07	FALSE	NA	1	1	1	ORF1::1
