ORF	best_label	labels
ORF1	1	1
ORF2	2	2
ORF3	2	2
ORF4	1	1
ORF5	1	1
ORF6	3	3
ORF7	1	1
ORF8	2	2
ORF9	1	1
ORF10	1	1
ORF11	2	2
ORF12	4	4
ORF13	4	4
ORF14	2	2
ORF15	4	4
ORF16	4	4
ORF17	1	1
ORF18	2	2
ORF19	2	2
ORF20	1	1
ORF21	1	1
ORF22	4	4
ORF23	4	4
ORF24	4	4
ORF25	4	4
ORF26	2	2
ORF27	4	4
ORF28	2	2
ORF29	2	2
ORF30	1	1
ORF31	1	1
ORF32	1	1
ORF33	4	4
ORF34	1	1
ORF35.5	4	4
ORF35	4	4
ORF36	4	4
ORF37	2	2
ORF38	1	1
ORF39	4	4
CTO	4	4
ORF40	4	4
ORF41	4	4
ORF42	4	4
ORF43	4	4
ORF44	4	4
ORF45	4	4
ORF46	4	4
ORF48	4	4
ORF49	2	2
ORF50	1	1
ORF51	2	2
ORF52	4	4
ORF53	1	1
ORF54	4	4
ORF55	2	2
ORF56	1	1
ORF57	4	4
ORF58	4	4
ORF59	4	4
ORF60	4	4
ORF61	1	1
ORF62	4	4
ORF63	1	1
ORF64_1	5	5
NOIR_1	1	1
ORF65_1	1	1
ORF66_1	2	2
ORF67_1	1	1
ORF68	4	4
ORF69	1	1
ORF70	3	3
ORF71	4	4
ORF72	4	4
ORF73	2	2
ORF74	2	2
ORF75	5	5
ORF76	2	2
NOIR_2	1	1
