gene	Kinetic_class	cluster	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_48h_1	EHV-1_48h_2
CTO	unknown	cluster_2	0	0	0	10	1	8	13	11	13	135	122	134	368	532	579	1931	1449	1474	957	442	466	705	455	461	1004	792
NOIR_1	unknown	cluster_7	0	0	0	0	0	0	1	1	0	3	0	2	0	0	0	2	3	3	2	3	2	3	2	2	6	4
NOIR_2	unknown	cluster_1	0	0	0	10	8	12	1	4	9	27	24	23	26	42	40	89	59	66	35	26	12	23	24	21	80	44
ORF1	unknown	cluster_1	0	0	0	20	21	15	12	13	21	26	20	34	60	97	92	176	121	127	62	51	33	46	31	30	103	80
ORF10	L	cluster_6	0	0	0	17	14	16	10	6	10	4	7	5	13	26	55	105	60	60	45	32	29	81	69	63	189	136
ORF11	L	cluster_2	0	0	0	1	2	2	1	3	2	46	50	58	116	178	183	408	239	240	98	84	77	113	60	55	172	115
ORF12	L	cluster_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	6	6	3	6	1
ORF13	L	cluster_4	0	0	0	0	0	0	0	0	0	0	0	0	7	7	9	125	70	61	27	12	14	207	141	105	120	81
ORF14	L	cluster_8	0	0	0	2	3	1	5	3	1	9	11	12	87	122	133	245	136	148	44	30	24	79	47	35	75	47
ORF15	unknown	cluster_9	0	0	0	0	0	0	0	0	0	3	2	1	16	18	18	4022	2786	2735	4646	3402	2931	4611	3317	3178	2883	2018
ORF16	L	cluster_9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	869	489	497	355	293	253	1314	944	839	1071	687
ORF17	L	cluster_5	0	0	0	4	5	4	1	2	2	5	1	3	1	6	12	20	12	20	8	5	2	5	3	2	2	3
ORF18	L	cluster_1	0	0	0	31	13	11	21	21	42	84	94	101	308	554	626	976	644	723	117	65	57	92	59	66	143	103
ORF19	L	cluster_10	0	0	0	0	0	0	1	1	4	11	10	14	18	38	24	60	28	35	9	4	9	8	6	9	15	12
ORF2	unknown	cluster_2	0	0	0	0	0	0	0	1	1	25	18	22	80	100	144	291	193	220	54	35	40	38	18	23	87	65
ORF20	E	cluster_1	0	0	0	43	47	36	36	51	56	127	132	137	213	298	389	570	387	410	132	72	70	87	65	67	151	105
ORF21	E	cluster_1	0	0	0	21	8	8	10	13	16	10	12	5	48	94	81	216	117	142	17	17	3	36	18	18	31	18
ORF22	L	cluster_2	0	0	0	3	4	5	6	13	19	45	34	58	117	181	210	610	416	384	261	194	163	394	258	271	423	311
ORF23	L	cluster_8	0	0	0	2	1	0	0	0	0	3	4	3	24	32	49	93	66	64	13	16	12	67	49	34	65	45
ORF24	L	cluster_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	4	4	0	0	0	2	1	1	0	0
ORF25	L	cluster_11	0	2	1	1	2	1	2	2	1	565	556	677	1782	2248	2158	10592	8109	7548	7845	5593	5027	6798	4831	4599	8958	5761
ORF26	L	cluster_2	0	0	0	0	0	1	0	0	0	25	19	10	39	61	99	147	86	88	38	31	11	20	17	19	47	38
ORF27	L	cluster_7	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	7	8	5	3	1	2	6	5	4	2	6
ORF28	L	cluster_5	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	5	1	4	0	0	0	2	0	0	1	0
ORF29	L	cluster_2	0	0	0	1	2	1	5	9	15	209	169	217	400	581	553	1099	762	725	300	193	190	327	218	218	183	105
ORF3	L	cluster_2	0	0	0	0	1	0	3	4	12	77	56	72	114	167	154	347	212	211	99	56	60	60	58	37	63	38
ORF30	E	cluster_12	0	0	0	38	30	22	17	18	28	5	1	5	4	3	10	13	6	10	1	1	0	1	2	1	2	1
ORF31	E	cluster_1	0	0	0	136	106	82	120	188	203	86	79	101	303	381	442	1001	613	535	76	47	30	177	111	111	123	75
