gene	cluster	si	au	bp	se.si	se.au	se.bp	v	c	pchi	neighbor	sil_width	gene_order	gene_to_centroid_dist	scaled_dist
CTO	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.371061177070519	7	0.0575524834456149	0.116484122001623
NOIR_1	5	0.780871980598178	0.965400458982018	0.424982226423257	0.0260862311157617	0.00610735979278203	0.0052459172515999	-0.813976995067442	1.00314077716523	0.700471622926712	3	0.479672980994318	1	0.000401346247268791	0.000812310128648554
NOIR_2	1	0.989668415615889	0.99843414878019	0.814598795473964	0.00228270025953182	0.000440097249532012	0.00441266072556505	-1.924738580986	1.02976724150059	0.645536247828665	3	-0.0316646552870255	10	0.0944351212021254	0.1911332321522
ORF1	1	0.989668415615889	0.99843414878019	0.814598795473964	0.00228270025953182	0.000440097249532012	0.00441266072556505	-1.924738580986	1.02976724150059	0.645536247828665	3	-0.248497459757836	11	0.0859043420375099	0.173867247063669
ORF10	1	0.989668415615889	0.99843414878019	0.814598795473964	0.00228270025953182	0.000440097249532012	0.00441266072556505	-1.924738580986	1.02976724150059	0.645536247828665	3	0.313052494865261	5	0.0875868930583516	0.177272668804867
ORF11	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	6	0.532917349027712	2	0.00725989031539935	0.0146937525296627
ORF12	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.821660371820666	1	0.0109079250626716	0.0220772414623163
ORF13	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.776820591805612	6	0.0344970261799195	0.0698207195529992
ORF14	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	6	0.497845359676961	4	0.00628127215092084	0.0127130651493894
ORF15	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.538919270211104	12	0.205773225898887	0.416477484814771
ORF16	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.814640103601803	3	0.0127039028630754	0.0257122348577294
ORF17	1	0.989668415615889	0.99843414878019	0.814598795473964	0.00228270025953182	0.000440097249532012	0.00441266072556505	-1.924738580986	1.02976724150059	0.645536247828665	3	0.430944549491305	4	0.103351197746163	0.209179045047709
ORF18	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	3	0.309401577569535	8	0.0432318671598255	0.0874997182938551
ORF19	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	10	0.03530105500712	12	0.0146763406557094	0.0297043768248941
ORF2	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	6	0.465327588295632	6	0.00644358001352669	0.0130415703282748
ORF20	3	0.992508081316825	0.998971582758504	0.815025375779963	0.00172730466656808	0.000301272857570825	0.00442586899748139	-1.9892345600538	1.09266612651713	0.532320263038928	1	0.593100938478439	4	0.00891441401162053	0.0180424479906905
ORF21	3	0.992508081316825	0.998971582758504	0.815025375779963	0.00172730466656808	0.000301272857570825	0.00442586899748139	-1.9892345600538	1.09266612651713	0.532320263038928	1	0.449049731582631	7	0.0482423727437563	0.0976407983791292
ORF22	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.349769078305143	8	0.0226875925988629	0.0459188578144739
ORF23	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.236425709780257	12	0.0436310573807545	0.0883076647040302
ORF24	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.439893504805473	4	0.0480132691033056	0.0971771009883729
ORF25	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	7	0.2937988432829	9	0.494080072516778	1
ORF26	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	6	0.532476495870905	3	0.0111426087401413	0.0225522326439565
ORF27	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	7	0.0592440821392946	15	0.0483253586454129	0.0978087588095791
ORF28	8	0.686971965446229	0.952390333356778	0.349562327149212	0.0351100467223721	0.00824818442222112	0.00503039754898838	-0.640991707354923	1.02749406846244	0.112145632734433	10	0	1	0	0
ORF29	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	6	0.598789691202143	1	0.0453151565432762	0.091716219827379
ORF3	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	10	0.372728727107	7	0.00434662924154088	0.00879741864390468
ORF30	1	0.989668415615889	0.99843414878019	0.814598795473964	0.00228270025953182	0.000440097249532012	0.00441266072556505	-1.924738580986	1.02976724150059	0.645536247828665	3	0.463587423519377	3	0.0745641232418233	0.150915058893194
ORF31	3	0.992508081316825	0.998971582758504	0.815025375779963	0.00172730466656808	0.000301272857570825	0.00442586899748139	-1.9892345600538	1.09266612651713	0.532320263038928	1	0.378004055197737	9	0.11977497559986	0.242420170863686
ORF32	9	0.834376206646643	0.975523961312424	0.451058473504785	0.0213267404987925	0.00459522704193419	0.00528886341974382	-0.92301063268039	1.04599819501594	0.426097928085716	3	0	1	0	0
ORF33	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	7	0.444113264220202	3	0.0286345698211548	0.0579553222523105
ORF34	3	0.992508081316825	0.998971582758504	0.815025375779963	0.00172730466656808	0.000301272857570825	0.00442586899748139	-1.9892345600538	1.09266612651713	0.532320263038928	1	0.62588884946328	2	0.196738990104257	0.39819252191673
ORF35	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.731059332259667	8	0.0552813331037769	0.111887396757738
ORF35.5	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	7	0.389333450445776	5	0.0554917277176542	0.112313227762833
ORF36	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	-0.0363759615881663	16	0.0398415984124625	0.08063793831942
ORF37	10	0.696743294893814	0.966767778393898	0.266903991261793	0.0385921901091383	0.00670275364403288	0.00465577676616448	-0.606537409688302	1.22874103498984	0.611557133595635	3	0.550843426304632	1	0.000839656121883393	0.00169943328741493
ORF38	3	0.992508081316825	0.998971582758504	0.815025375779963	0.00172730466656808	0.000301272857570825	0.00442586899748139	-1.9892345600538	1.09266612651713	0.532320263038928	10	0.628048803414082	1	0.0536307636815538	0.108546704602689
ORF39	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	-0.150287931887184	19	0.044458715078758	0.0899828136202524
ORF4	3	0.992508081316825	0.998971582758504	0.815025375779963	0.00172730466656808	0.000301272857570825	0.00442586899748139	-1.9892345600538	1.09266612651713	0.532320263038928	1	0.603928715009359	3	0.0571111187605699	0.115590816018249
ORF40	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.169302907730097	13	0.0404878401160582	0.081945907896707
ORF41	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.615426390893365	11	0.0540413261717287	0.109377668069974
ORF42	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.256320077745665	11	0.0657493450597705	0.133074270178217
ORF43	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.579537630383776	1	0.0110198216388258	0.0223037160407873
ORF44	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.384924467963324	6	0.0478397005420115	0.0968258045671068
ORF45	11	0.871765585119873	0.974530894346221	0.602117921300408	0.0167163422728486	0.00460600556603233	0.00526993442177552	-1.10541643134126	0.846583512267231	0.542324664201149	6	0	1	0	0
ORF46	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	0.530852260406798	2	0.0368274390367768	0.0745373899602604
ORF48	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	7	-0.403208048511531	21	0.0467762644157247	0.0946734487336286
ORF49	2	0.731294796825027	0.920842070337888	0.629568377199136	0.0272381589592678	0.0113147725467865	0.00515152507253001	-0.8707344090168	0.540024008652652	0.211361893139469	6	0.0560986673691821	11	0.0168712620328987	0.0341468174317551
ORF5	1	0.989668415615889	0.99843414878019	0.814598795473964	0.00228270025953182	0.000440097249532012	0.00441266072556505	-1.924738580986	1.02976724150059	0.645536247828665	3	0.200882584178808	6	0.10703859545098	0.21664220316707
ORF50	3	0.992508081316825	0.998971582758504	0.815025375779963	0.00172730466656808	0.000301272857570825	0.00442586899748139	-1.9892345600538	1.09266612651713	0.532320263038928	10	0.553043986303427	5	0.060034998244977	0.121508641178679
ORF51	10	0.696743294893814	0.966767778393898	0.266903991261793	0.0385921901091383	0.00670275364403288	0.00465577676616448	-0.606537409688302	1.22874103498984	0.611557133595635	3	0.478732227307614	2	0.00229052803461816	0.00463594498549702
ORF52	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.799128553069338	4	0.0168657136685265	0.0341355877451499
ORF53	1	0.989668415615889	0.99843414878019	0.814598795473964	0.00228270025953182	0.000440097249532012	0.00441266072556505	-1.924738580986	1.02976724150059	0.645536247828665	3	0.533945687330963	1	0.0837050831198916	0.169416027433588
ORF54	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.781982922826509	5	0.105186405724226	0.212893438888195
ORF55	10	0.696743294893814	0.966767778393898	0.266903991261793	0.0385921901091383	0.00670275364403288	0.00465577676616448	-0.606537409688302	1.22874103498984	0.611557133595635	8	0.477609391130738	3	0.00105961781698986	0.00214462771508333
ORF56	5	0.780871980598178	0.965400458982018	0.424982226423257	0.0260862311157617	0.00610735979278203	0.0052459172515999	-0.813976995067442	1.00314077716523	0.700471622926712	3	0.438535860590464	2	0.000458797213047514	0.000928588782604533
ORF57	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.62743765957727	10	0.0549461677288588	0.111209034294725
ORF58	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	7	0.288120374141858	10	0.0360845725142638	0.0730338552827153
ORF59	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	2	-0.0443354642457474	17	0.0481519803817621	0.0974578475437845
ORF6	4	0.878395540699932	0.976595124139273	0.598836616761152	0.0160820988766673	0.00429562020944292	0.00526167715886386	-1.11917724914867	0.868840276527509	0.468403417399456	12	0.395369402840632	1	0.0724032418489327	0.146541513969831
ORF60	7	0.763890734169645	0.967065072511403	0.372243570701539	0.0286772263835089	0.0060467326129596	0.00511150558242871	-0.756695635276281	1.08261265090315	0.764043127423904	6	0.65623727064481	9	0.0245601832597312	0.049708912838004
ORF61	3	0.992508081316825	0.998971582758504	0.815025375779963	0.00172730466656808	0.000301272857570825	0.00442586899748139	-1.9892345600538	1.09266612651713	0.532320263038928	1	0.535671835637696	6	0.0315371445566797	0.0638300273800433
ORF62	6	0.543081040688287	0.949147318148535	0.211073802147652	0.0533364407242419	0.00987151321365198	0.00428466850624988	-0.416970359812777	1.21967130881889	0.903061548648761	7	-0.181998347025678	20	0.0199946490794249	0.0404684386026234
ORF63	1	0.989668415615889	0.99843414878019	0.814598795473964	0.00228270025953182	0.000440097249532012	0.00441266072556505	-1.924738580986	1.02976724150059	0.645536247828665	3	0.513405482760881	2	0.0748800279663997	0.15155443850421
ORF64_1	12	0.610711909625803	0.961407232888671	0.210203110218512	0.048906177237626	0.00796417979846613	0.00428393926108045	-0.480769146683228	1.28648584256523	0.261209998588948	4	0.153341362803252	2	0.200147292798643	0.405090801940503
