gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
CTO	unknown	cluster_2	0	6.33333333333333	17.6666666666667	164.333333333333	624	2008	833.333333333333	778.666666666667	1271.5
NOIR_1	unknown	cluster_5	0	0.333333333333333	0.666666666666667	1.66666666666667	0.666666666666667	4.66666666666667	3.66666666666667	3	7
NOIR_2	unknown	cluster_1	0	13	7	36.3333333333333	49	96.3333333333333	37	31.6666666666667	89.5
ORF1	unknown	cluster_1	0	19.6666666666667	17	29.3333333333333	89	155.333333333333	53.6666666666667	39	101.5
ORF10	L	cluster_1	0	20.6666666666667	11	9	44.6666666666667	105.666666666667	55.3333333333333	116	252
ORF11	L	cluster_2	0	1.66666666666667	2.33333333333333	65	209.666666666667	410	113	103.333333333333	205
ORF12	L	cluster_4	0	0	0.666666666666667	10.3333333333333	55.6666666666667	456.666666666667	393.666666666667	783.333333333333	989.5
ORF13	L	cluster_4	0	0.666666666666667	0	0.333333333333333	15.6666666666667	203.666666666667	104.666666666667	380.333333333333	419
ORF14	L	cluster_2	0	2	3	13	129.666666666667	202.333333333333	42.3333333333333	60	71.5
ORF15	unknown	cluster_4	0	0	0	2	19.6666666666667	3450.66666666667	3976.66666666667	4029.33333333333	2697.5
ORF16	L	cluster_4	0	0	0	0	2.66666666666667	704.666666666667	368.333333333333	1179	1024.5
ORF17	L	cluster_6	0	4.33333333333333	1.66666666666667	3.33333333333333	9	20	5.66666666666667	4.33333333333333	5.5
ORF18	L	cluster_1	0	19.6666666666667	32	99	543	846.333333333334	90.3333333333333	78.6666666666667	134.5
ORF19	L	cluster_7	0	0	2	12.6666666666667	29.3333333333333	45.3333333333333	8.33333333333333	8.33333333333333	14.5
ORF2	unknown	cluster_2	0	0	0.666666666666667	25	119.666666666667	253.333333333333	46.3333333333333	29	83
ORF20	E	cluster_1	0	47.6666666666667	50	144.333333333333	332.333333333333	490.666666666667	100	80.6666666666667	140.5
ORF21	E	cluster_1	0	14	15	10.3333333333333	93	185.333333333333	15	27	31.5
ORF22	L	cluster_2	0	4	13.6666666666667	47.3333333333333	184.333333333333	507.333333333333	228	330.333333333333	409.5
ORF23	L	cluster_4	0	1	0.333333333333333	4	43.3333333333333	93.3333333333333	18.3333333333333	62	67.5
ORF24	L	cluster_8	0	0	0	0	5	16.3333333333333	2.66666666666667	6.66666666666667	14
ORF25	L	cluster_2	1	1.33333333333333	1.66666666666667	626.333333333333	2160.33333333333	9114	6378.66666666667	5646.33333333333	7706
ORF26	L	cluster_2	0	0.333333333333333	0	20.3333333333333	70.6666666666667	112.333333333333	28	20	46
ORF27	L	cluster_8	0	0	0.333333333333333	0.333333333333333	1	7.66666666666667	2.66666666666667	7	5.5
