seqnames	strand	gene	Ref_Class	1h	2h	4h	6h	8h	12h	18h	24h	48h
NC_001491.2	+	ORF67	ORF67-Monocistronic-Short-novTX_2	0	0.000794286477207773	0.00258266826219162	0.00239754676997209	0.000534484685912108	0.00076859070478216	0.00247495426231661	0.00175386340724966	0.00128775928388964
NC_001491.2	+	ORF67	ORF67-Monocistronic-Short-novTX_3	0	0.000794286477207773	0.00258266826219162	0.00239754676997209	0.000534484685912108	0.00076859070478216	0.00247495426231661	0.00175386340724966	0.00128775928388964
NC_001491.2	+	ORF67	ORF67-Monocistronic-Short-novTX_321	0	0.000794286477207773	0.00258266826219162	0.00239754676997209	0.000534484685912108	0.00076859070478216	0.00247495426231661	0.00175386340724966	0.00128775928388964
NC_001491.2	+	ORF67	ORF67-Monocistronic-Short-novTX_323	0	0.000794286477207773	0.00258266826219162	0.00239754676997209	0.000534484685912108	0.00076859070478216	0.00247495426231661	0.00175386340724966	0.00128775928388964
NC_001491.2	+	ORF67	ORF67.1	0.288675134594813	0.00171830437258817	0.0067818541956446	0.00550273737613533	0.00115485398398328	0.00214908009681559	0.00436941238698284	0.00289304021146202	0.00503273728639395
NC_001491.2	+	ORFF43	ORFF43-Monocistronic-Short-novTX_263	0	0	0	0	0	0	0.577350269189626	0.577350269189626	0.577350269189626
NC_001491.2	+	NOIR	NOIR-Canonic	0	0.17024119245784	0.0656363281423973	0.0107000398381863	0.01876848201533	0.00863773644375137	0.00513337804340426	0.0270052729936829	0.00803258023350997
NC_001491.2	+	NOIR	NOIR-ORF65-PC-Canonic	0	0	0	0	0	0	0.0113205935135221	0	0
NC_001491.2	+	NOIR	TR27	0	0	0	0	0	0	0	0.010309826235529	0.00544823705966714
NC_001491.2	+	NOIR	TR29	0	0	0	0	0	0	0	0.010309826235529	0
NC_001491.2	+	NOIR	TR544	0	0.0222057795842164	0.131272656284795	0.0192852217302187	0.00721687836487032	0.005705017667466	0.00849044513514156	0.00358792486508435	0.00920029323087771
NC_001491.2	+	NOIR	TR545	0	0.181525457215667	0.0867360833110889	0.00878667524400817	0.0170926815717607	0.00102912073748327	0.0328862350921172	0.0310514288245867	0.0147888450905536
NC_001491.2	+	NOIR	TR546	0	0.0222057795842164	0	0	0.00721687836487032	0.0041990879140752	0.024005722537552	0.021173526304689	0.0251260666770126
NC_001491.2	+	NOIR	TR551	0	0	0	0	0	0	0.0194074045738428	0.0309294787065871	0.00508664912024788
NC_001491.2	+	ORF65	ORF65	0	0.00777665076720622	0.00502773087402993	0.0136330936055789	0.0219562191926039	0.0119093395272915	0.0172178549461573	0.0356900590285369	0.0705306317660845
NC_001491.2	+	ORF65	ORF65-L1	0	0	0	0	0.00131576444691187	0.00657738927023256	0.00529679146045528	0.00972968514183186	0.0228435681980446
NC_001491.2	+	ORF65	ORF65-Non-coding-intergenic-novTX_211	0	0.00188132852748324	0	0.00240504041459941	0	0.00192611869876617	0	0.00637887953849786	0.00448624495015234
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_203	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_204	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_205	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_206	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_207	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_209	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_269	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_270	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-Non-coding-novTX_304	0	0.000781599125950281	0.00188193347756868	0.00452678057123002	0.00212298600167149	0.00150092573878602	0.0148971428014168	0.0104372682818007	0.0118651261852446
NC_001491.2	+	ORF65	ORF65-S	0	0.00467317571333124	0.0070645926441881	0.00545037692795491	0.00558410534790468	0.00164801442406399	0.0369576091523852	0.010309826235529	0.0114675028020319
NC_001491.2	+	ORF65	TR30	0	0	0	0	0	0	0	0.010309826235529	0.00634450845263325
NC_001491.2	+	ORF65	TR561	0	0	0	0	0	0.00379004553078529	0	0.0180421959121758	0.00549461854901101
NC_001491.2	+	ORF65	TR562	0	0	0	0	0	0	0	0.0090210979560879	0.00609577432773554
NC_001491.2	+	ORF65	TR564	0	0	0	0	0	0	0	0.0090210979560879	0.00320750149549792
NC_001491.2	+	ORF65	TR565	0	0.0321201279067587	0.0195850036024099	0.0104143141269285	0.015319486566909	0.0258977624120916	0.0278997292302276	0.0367820883650275	0.0321750531217724
NC_001491.2	+	ORF65	TR566	0	0.0363714892194787	0.00731690388417903	0.00394514870266961	0.0152366604067092	0.00145821254864698	0.018677233599038	0.010309826235529	0.016946423699184
NC_001491.2	+	ORF65	TR_5229-ORF65-ORF66-PC-Canonic	0	0	0	0	0	0	0	0.010309826235529	0
NC_001491.2	+	ORF65	nct65-Canonic	0	0.0026606003188462	0.00365054106097924	0.0046562345829756	0.00239873133634704	0.00129922883275574	0.0172178549461573	0.0270632938682637	0.00287486314966676
NC_001491.2	+	ORF65	nct65-Long	0	0	0.00206765401562446	0.00290850119011643	0.00881719858164422	0.0119481503386986	0.0810815664575175	0.0518517881439174	0.101133584310127
NC_001491.2	+	ORF65	nct65-Short	0	0.00261244465696663	0.00345486997411618	0.002777229424885	0.00267669946482653	0.00120589010463767	0.00783550426637424	0.0194593702836637	0.0342980357934431
NC_001491.2	+	ORF64	ORF64.1-L1	0	0	0	0	0.263254099851143	0.0836938668733736	0	0	0.288675134594813
NC_001491.2	+	ORF64	ORF64_2	0	0	0	0	0.226816177181639	0.085064116747712	0	0	0
NC_001491.2	+	ORF66	ORF66	0	0.288675134594813	0.288675134594813	0	0	0	0	0	0
NC_001491.2	+	CTO	CTO-S-AS	0	0	0	0	0.00276526313828124	0.000914010980247429	0.00139120546792681	0.00258901466004316	0
NC_001491.2	+	NOIR_1	NOIR_1-Non-coding-Long-novTX_195	0	0	0	0	0.577350269189626	0	0.577350269189626	0	0.577350269189626
NC_001491.2	+	ORF1	ORF1	0	0	0	0	0.0155160825765457	0.0218726770675236	0.0169808902702831	0.0492412495265028	0.0555363155357385
NC_001491.2	+	ORF1	ORF1-ORF2-ORF3-CX-Canonic	0	0	0	0	0.0155160825765457	0.0301768275648587	0	0.0325739193165527	0.0308378481601519
NC_001491.2	+	ORF1	ORF1-ORF2-ORF3-CX-Long	0	0	0	0	0	0.00895116696418024	0.0169808902702831	0.0299933791483322	0.0264744392272194
NC_001491.2	+	ORF10	ORF10-ORF11-ORF12-PC-Canonic	0	0	0	0	0.0670940101501972	0.0262431940540739	0.0588863591086201	0.0165560139715444	0.0566953530822114
NC_001491.2	+	ORF10	ORF10-ORF11-PC-Canonic	0	0	0	0	0.0670940101501972	0.0275885816399725	0.0588863591086202	0.0165560139715444	0.0735953248889625
NC_001491.2	+	ORF10	ORF9-ORF10-ORF11-CX-Canonic	0	0	0	0	0	0.01787200461026	0	0	0.0171490178967216
NC_001491.2	+	ORF11	ORF11	0	0.125830573921179	0.0461967846647761	0.0571750183841776	0.0295015132676198	0.0251907388751853	0.0600559594561546	0.0380638725023818	0.0304556536063983
NC_001491.2	+	ORF11	ORF11-ORF12-PC-Canonic	0	0	0	0	0	0.00344314921075834	0.00485682432734148	0.0101158501501852	0.0108934013054646
NC_001491.2	+	ORF11	ORF11-ORF12-PC-Short	0	0	0	0	0.0124634007522382	0.010268161835541	0.00399801528680991	0.0253180567587288	0.016050316317503
NC_001491.2	+	ORF11	ORF11.5	0	0.125830573921179	0.0461967846647761	0.0571750183841776	0.0383184282781291	0.0321574777225416	0.052311198163395	0.0602309246525639	0.00841491352317589
NC_001491.2	+	ORF12	ORF12	0	0	0.577350269189626	0.0524863881081478	0.026212549240699	0.000449933163403685	0.0121793582939043	0.00663406986195918	0.000707561033889394
NC_001491.2	+	ORF12	ORF12-L1	0	0	0	0	0.0120281306081172	0.00133540991922981	0.00293342151237006	0.00063273150645064	0.00371532386885451
NC_001491.2	+	ORF12	ORF12-L2	0	0	0.577350269189626	0	0.0109262978479007	0.00766874399025599	0.00959533192594601	0.00588863375156056	0.00642200704039655
NC_001491.2	+	ORF12	ORF12-Monocistronic-Long-novTX_193	0	0	0	0	0.00931210111596171	0.00310247298075869	0.00191175585824379	0.00209184880141169	0.000327842682701525
NC_001491.2	+	ORF12	ORF12-Monocistronic-Short-novTX_199	0	0	0	0.0524863881081478	0.00931210111596171	0.00398172599441121	0.00260067688824156	0	0.00124987672010371
NC_001491.2	+	ORF12	ORF12-ORF13-ORF14-PC-Canonic	0	0	0	0	0	0.00199086299720561	0.00130033844412078	0.00141972588241757	0.00648573340087497
NC_001491.2	+	ORF13	ORF13-Multicistronic-Long-novTX_4	0	0.144337567297406	0	0	0	0.00202579041820921	0	0.00191810720661005	0.00583182090090531
NC_001491.2	+	ORF13	ORF13-ORF14-PC-Canonic	0	0	0	0	0.0312605799653339	0.0197444008217645	0.105440102928098	0.0148900771973801	0.0598484412258131
NC_001491.2	+	ORF13	ORF13-ORF14-PC-Long	0	0.144337567297406	0	0	0.0312605799653339	0.018913837632379	0.105440102928098	0.0167715810530821	0.0603764382286262
NC_001491.2	+	ORF14	ORF14	0	0.127293769304329	0.445600348722814	0.00465156861602696	0.00148036795579667	0.0428126234528443	0.00924160525532672	0.0316101689912433	0.0283197012345187
NC_001491.2	+	ORF14	ORF14-L1	0	0	0	0	0	0.00270421671751581	0.00506447604552303	0	0.01154841992234
NC_001491.2	+	ORF14	ORF14-L2	0	0	0	0.00454606511172934	0	0.00135210835875791	0.0151934281365691	0.00272335032636616	0.00572798165904461
NC_001491.2	+	ORF14	ORF14-L3	0	0	0	0	0.00230020027565588	0.0022281566277311	0.00200069996629231	0	0.00323378086810119
