seqnames	strand	gene_cluster	gene	Kinetic_class	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_48h_1	EHV-1_48h_2	EHV-1_48h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3
NC_001491.2	+				22524	14836	17928	30592	25503	23202	6	5	6	16075	14031	11720	245	205	176	22711	19330	17992	637	671	807	5481	5328	5424	6925	9030	11975
NC_001491.2	+		NOIR_1	unknown	3	2	2	2	2	3	0	0	0	1	2	0	1	0	0	3	6	3	0	0	0	0	0	1	1	1	0
NC_001491.2	+		ORF1	unknown	17	15	16	6	7	6	0	0	0	8	1	4	1	2	3	18	13	3	2	2	2	0	4	6	7	8	8
NC_001491.2	+		ORF10	L	49	36	37	44	22	22	0	0	0	68	54	57	4	8	4	141	105	115	1	4	4	3	8	3	7	18	27
NC_001491.2	+		ORF11	L	278	197	184	57	51	31	0	0	0	55	37	39	1	0	0	111	99	105	0	0	4	22	24	29	66	117	147
NC_001491.2	+		ORF12	L	861	513	518	648	497	457	0	0	0	1332	933	768	1	1	0	1504	1115	924	1	0	2	14	14	15	70	72	129
NC_001491.2	+		ORF13	L	279	196	209	240	150	130	0	0	0	600	428	382	1	1	0	687	472	449	0	2	1	1	0	0	22	21	20
NC_001491.2	+		ORF14	L	31	28	29	21	7	5	0	0	0	11	8	3	0	0	0	17	8	12	0	0	0	3	3	2	14	14	27
NC_001491.2	+		ORF19	L	12	4	8	7	1	2	0	0	0	5	2	3	0	0	0	7	7	9	0	0	0	2	0	2	4	5	5
NC_001491.2	+		ORF23	L	27	19	18	7	6	4	0	0	0	19	13	10	0	0	0	17	14	9	0	0	1	1	1	0	5	9	14
