seqnames	start	end	strand	TR_ID	exon_combination	prime3	prime5	exon_rank	exon_ID	TR_start	TR_end
NC_001491.2	55322	55465	+	1	55322-55465::+	55465	55322	1	1	55322	55465
NC_001491.2	10080	10221	+	2	10080-10221::+	10221	10080	1	2	10080	10221
NC_001491.2	12119	12263	-	3	12119-12263::-	12119	12263	1	3	12119	12263
NC_001491.2	55324	55465	+	4	55324-55465::+	55465	55324	1	4	55324	55465
NC_001491.2	64488	64631	+	5	64488-64631::+	64631	64488	1	5	64488	64631
NC_001491.2	32538	32683	-	6	32538-32683::-	32538	32683	1	6	32538	32683
NC_001491.2	125192	125333	-	7	125192-125333::-	125192	125333	1	7	125192	125333
NC_001491.2	11990	12133	+	8	11990-12133::+	12133	11990	1	8	11990	12133
NC_001491.2	15234	15375	+	9	15234-15375::+	15375	15234	1	9	15234	15375
NC_001491.2	66120	66263	-	10	66120-66263::-	66120	66263	1	10	66120	66263
NC_001491.2	94799	94942	+	11	94799-94942::+	94942	94799	1	11	94799	94942
NC_001491.2	107383	107528	-	12	107383-107528::-	107383	107528	1	12	107383	107528
NC_001491.2	51422	51567	+	13	51422-51567::+	51567	51422	1	13	51422	51567
NC_001491.2	64689	64832	+	14	64689-64832::+	64832	64689	1	14	64689	64832
NC_001491.2	61312	61455	+	15	61312-61455::+	61455	61312	1	15	61312	61455
NC_001491.2	15084	15228	+	16	15084-15228::+	15228	15084	1	16	15084	15228
NC_001491.2	71118	71258	+	17	71118-71258::+	71258	71118	1	17	71118	71258
NC_001491.2	19546	19689	-	18	19546-19689::-	19546	19689	1	18	19546	19689
NC_001491.2	12468	12611	+	19	12468-12611::+	12611	12468	1	19	12468	12611
NC_001491.2	48142	48284	-	20	48142-48284::-	48142	48284	1	20	48142	48284
NC_001491.2	76218	76361	-	21	76218-76361::-	76218	76361	1	21	76218	76361
NC_001491.2	88868	89011	-	22	88868-89011::-	88868	89011	1	22	88868	89011
NC_001491.2	2397	2540	-	23	2397-2540::-	2397	2540	1	23	2397	2540
NC_001491.2	25626	25769	-	24	25626-25769::-	25626	25769	1	24	25626	25769
NC_001491.2	124802	124945	-	25	124802-124945::-	124802	124945	1	25	124802	124945
NC_001491.2	86362	86505	+	26	86362-86505::+	86505	86362	1	26	86362	86505
NC_001491.2	102278	102419	+	27	102278-102419::+	102419	102278	1	27	102278	102419
NC_001491.2	106532	106677	-	28	106532-106677::-	106532	106677	1	28	106532	106677
NC_001491.2	135564	135707	+	29	135564-135707::+	135707	135564	1	29	135564	135707
NC_001491.2	16554	16698	+	30	16554-16698::+	16698	16554	1	30	16554	16698
NC_001491.2	92409	92552	+	31	92409-92552::+	92552	92409	1	31	92409	92552
NC_001491.2	96455	96596	+	32	96455-96596::+	96596	96455	1	32	96455	96596
NC_001491.2	94408	94550	-	33	94408-94550::-	94408	94550	1	33	94408	94550
NC_001491.2	68911	69052	-	34	68911-69052::-	68911	69052	1	34	68911	69052
NC_001491.2	4199	4342	-	35	4199-4342::-	4199	4342	1	35	4199	4342
NC_001491.2	10569	10713	+	36	10569-10713::+	10713	10569	1	36	10569	10713
NC_001491.2	7119	7264	-	37	7119-7264::-	7119	7264	1	37	7119	7264
NC_001491.2	89355	89497	+	38	89355-89497::+	89497	89355	1	38	89355	89497
NC_001491.2	4167	4310	-	39	4167-4310::-	4167	4310	1	39	4167	4310
NC_001491.2	90712	90852	+	40	90712-90852::+	90852	90712	1	40	90712	90852
NC_001491.2	119537	119678	+	41	119537-119678::+	119678	119537	1	41	119537	119678
NC_001491.2	125193	125335	-	42	125193-125335::-	125193	125335	1	42	125193	125335
NC_001491.2	125192	125334	-	43	125192-125334::-	125192	125334	1	43	125192	125334
NC_001491.2	125192	125335	-	44	125192-125335::-	125192	125335	1	44	125192	125335
NC_001491.2	55255	55398	+	45	55255-55398::+	55398	55255	1	45	55255	55398
NC_001491.2	33907	34044	+	46	33907-34044::+	34044	33907	1	46	33907	34044
NC_001491.2	77591	77735	+	47	77591-77735::+	77735	77591	1	47	77591	77735
NC_001491.2	64687	64831	+	48	64687-64831::+	64831	64687	1	48	64687	64831
NC_001491.2	77591	77734	+	49	77591-77734::+	77734	77591	1	49	77591	77734
NC_001491.2	19645	19787	+	50	19645-19787::+	19787	19645	1	50	19645	19787
NC_001491.2	13528	13666	+	51	13528-13666::+	13666	13528	1	51	13528	13666
NC_001491.2	69780	69923	+	52	69780-69923::+	69923	69780	1	52	69780	69923
NC_001491.2	24134	24276	-	53	24134-24276::-	24134	24276	1	53	24134	24276
NC_001491.2	17969	18112	+	54	17969-18112::+	18112	17969	1	54	17969	18112
NC_001491.2	74045	74186	-	55	74045-74186::-	74045	74186	1	55	74045	74186
NC_001491.2	106532	106674	-	56	106532-106674::-	106532	106674	1	56	106532	106674
NC_001491.2	127634	127776	+	57	127634-127776::+	127776	127634	1	57	127634	127776
NC_001491.2	15085	15225	+	58	15085-15225::+	15225	15085	1	58	15085	15225
NC_001491.2	11986	12133	+	59	11986-12133::+	12133	11986	1	59	11986	12133
NC_001491.2	13528	13669	+	60	13528-13669::+	13669	13528	1	60	13528	13669
NC_001491.2	121003	121068	+	61	121003-121068::+, 121287-121363::+	121068	121003	1	61	121003	121363
NC_001491.2	121287	121363	+	61	121003-121068::+, 121287-121363::+	121363	121287	2	62	121003	121363
NC_001491.2	4165	4307	-	62	4165-4307::-	4165	4307	1	63	4165	4307
NC_001491.2	126414	126558	+	63	126414-126558::+	126558	126414	1	64	126414	126558
NC_001491.2	86365	86508	+	64	86365-86508::+	86508	86365	1	65	86365	86508
NC_001491.2	17231	17374	+	65	17231-17374::+	17374	17231	1	66	17231	17374
NC_001491.2	118878	119021	+	66	118878-119021::+	119021	118878	1	67	118878	119021
NC_001491.2	50573	50716	+	67	50573-50716::+	50716	50573	1	68	50573	50716
NC_001491.2	121002	121068	+	68	121002-121068::+, 121287-121363::+	121068	121002	1	69	121002	121363
NC_001491.2	121287	121363	+	68	121002-121068::+, 121287-121363::+	121363	121287	2	62	121002	121363
NC_001491.2	106535	106677	-	69	106535-106677::-	106535	106677	1	70	106535	106677
NC_001491.2	12120	12264	-	70	12120-12264::-	12120	12264	1	71	12120	12264
NC_001491.2	77359	77501	+	71	77359-77501::+	77501	77359	1	72	77359	77501
NC_001491.2	118699	118731	-	72	118699-118731::-, 119104-119214::-	118699	118731	1	73	118699	119214
NC_001491.2	119104	119214	-	72	118699-118731::-, 119104-119214::-	119104	119214	2	74	118699	119214
NC_001491.2	111848	111989	-	73	111848-111989::-	111848	111989	1	75	111848	111989
NC_001491.2	105994	106138	-	74	105994-106138::-	105994	106138	1	76	105994	106138
