TR_ID	seqnames	strand	TR_start	TR_end	exon_combination	1	2	sample	count
1	NC_001491.2	+	55322	55465	55322-55465::+	1		EHV1_cage_C	60
1	NC_001491.2	+	55322	55465	55322-55465::+	1		EHV1_cage_B	50
1	NC_001491.2	+	55322	55465	55322-55465::+	1		EHV1_cage_A	37
2	NC_001491.2	+	10080	10221	10080-10221::+	2		EHV1_cage_A	2
2	NC_001491.2	+	10080	10221	10080-10221::+	2		EHV1_cage_C	2
3	NC_001491.2	-	12119	12263	12119-12263::-	3		EHV1_cage_C	8
3	NC_001491.2	-	12119	12263	12119-12263::-	3		EHV1_cage_A	4
3	NC_001491.2	-	12119	12263	12119-12263::-	3		EHV1_cage_B	2
4	NC_001491.2	+	55324	55465	55324-55465::+	4		EHV1_cage_C	1
4	NC_001491.2	+	55324	55465	55324-55465::+	4		EHV1_cage_B	4
4	NC_001491.2	+	55324	55465	55324-55465::+	4		EHV1_cage_A	2
5	NC_001491.2	+	64488	64631	64488-64631::+	5		EHV1_cage_C	167
5	NC_001491.2	+	64488	64631	64488-64631::+	5		EHV1_cage_B	111
5	NC_001491.2	+	64488	64631	64488-64631::+	5		EHV1_cage_A	80
6	NC_001491.2	-	32538	32683	32538-32683::-	6		EHV1_cage_A	1
7	NC_001491.2	-	125192	125333	125192-125333::-	7		EHV1_cage_C	4
7	NC_001491.2	-	125192	125333	125192-125333::-	7		EHV1_cage_A	1
8	NC_001491.2	+	11990	12133	11990-12133::+	8		EHV1_cage_C	24
8	NC_001491.2	+	11990	12133	11990-12133::+	8		EHV1_cage_A	18
9	NC_001491.2	+	15234	15375	15234-15375::+	9		EHV1_cage_C	2
9	NC_001491.2	+	15234	15375	15234-15375::+	9		EHV1_cage_B	1
9	NC_001491.2	+	15234	15375	15234-15375::+	9		EHV1_cage_A	3
10	NC_001491.2	-	66120	66263	66120-66263::-	10		EHV1_cage_C	21
10	NC_001491.2	-	66120	66263	66120-66263::-	10		EHV1_cage_A	12
10	NC_001491.2	-	66120	66263	66120-66263::-	10		EHV1_cage_B	20
