gene	seqnames	start	end	strand	type	product	ID	Name	copy_number	part	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
CTO											unknown	cluster_6	0.901192523579749	0.767422201952888	0.0819971775703238	0.356260215174606
NOIR											unknown	cluster_7	0.998793688401764	0.995889845098213	0.0776117093621582	0.781561652614319
NOIR											unknown	cluster_7	0.998793688401764	0.995889845098213	0.0776166175397754	0.781670191188483
ORF1	NC_001491.2	1298	1906	+	CDS	membrane protein UL56	cds-YP_053045.1	ORF1	1	1	unknown	cluster_1	1	1	0.170088221867406	0.4356563263972
ORF10	NC_001491.2	12084	12386	+	CDS	envelope glycoprotein N	cds-YP_053055.1	ORF10	1	1						
ORF10, ORF11											L	cluster_7	0.998793688401764	0.995889845098213	0.014890599144748	0.701151092892726
ORF11	NC_001491.2	12549	13463	+	CDS	tegument protein VP22	cds-YP_053056.1	ORF11	1	1						
ORF12	NC_001491.2	13595	14944	+	CDS	transactivating tegument protein VP16	cds-YP_053057.2	ORF12	1	1						
ORF12, ORF13, ORF14											L	cluster_6	0.901192523579749	0.767422201952888	0.0662598961707895	0.549808814895348
ORF13	NC_001491.2	15317	17932	+	CDS	tegument protein VP13/14	cds-YP_053058.1	ORF13	1	1						
ORF14	NC_001491.2	18083	20326	+	CDS	tegument protein VP11/12	cds-YP_053059.1	ORF14	1	1						
ORF15	NC_001491.2	20487	21170	-	CDS	membrane protein UL45	cds-YP_053060.2	ORF15	1	1						
ORF16	NC_001491.2	21445	22851	-	CDS	envelope glycoprotein C	cds-YP_053061.1	ORF16	1	1						
ORF17	NC_001491.2	23029	24234	-	CDS	envelope protein UL43	cds-YP_053062.1	ORF17	1	1	L	cluster_1	1	1	0.179078832449433	0.281887948757595
ORF18	NC_001491.2	24479	25696	-	CDS	DNA polymerase processivity subunit	cds-YP_053063.1	ORF18	1	1	L	cluster_3	0.639733417267008	0.183746588198466	0.0868439717801171	0.519726222989431
ORF18, ORF17, ORF16, ORF15											L	cluster_8	0.940399794012629	0.709592353196381	0.179425766550944	0.620918714688393
ORF19	NC_001491.2	26262	27755	+	CDS	tegument host shutoff protein	cds-YP_053064.1	ORF19	1	1	L	cluster_8	0.940399794012629	0.709592353196381	0.155844983662897	0.59228517624894
ORF2	NC_001491.2	1945	2562	-	CDS	membrane protein V1	cds-YP_053047.1	ORF2	1	1	unknown	cluster_2	0.999818181861951	0.999381046257858	0.0105298865207404	0.908405091870925
ORF20	NC_001491.2	27894	28859	-	CDS	ribonucleotide reductase subunit 2	cds-YP_053065.1	ORF20	1	1						
ORF21	NC_001491.2	28904	31276	-	CDS	ribonucleotide reductase subunit 1	cds-YP_053066.1	ORF21	1	1						
ORF22	NC_001491.2	31519	32916	-	CDS	capsid triplex subunit 1	cds-YP_053067.1	ORF22	1	1	L	cluster_6	0.901192523579749	0.767422201952888	0.0542502337292454	0.693047171984945
ORF22, ORF21, ORF20											E	cluster_1	1	1	0.0953546884573725	0.34914044979601
ORF23	NC_001491.2	33292	36354	+	CDS	tegument protein UL37	cds-YP_053068.1	ORF23	1	1	L	cluster_6	0.901192523579749	0.767422201952888	0.0659759768352022	0.220340991213126
ORF24	NC_001491.2	36588	46853	+	CDS	large tegument protein	cds-YP_053069.1	ORF24	1	1	L	cluster_9	0.998806458389767	0.995099549781546	0	0
ORF25	NC_001491.2	46952	47311	-	CDS	small capsid protein	cds-YP_053070.1	ORF25	1	1						
ORF26	NC_001491.2	47403	48230	-	CDS	nuclear egress membrane protein	cds-YP_053071.1	ORF26	1	1						
ORF27	NC_001491.2	48369	48791	-	CDS	DNA packaging protein UL33	cds-YP_053072.2	ORF27	1	1						
ORF27, ORF26, ORF25											L	cluster_6	0.901192523579749	0.767422201952888	0.273905856671478	0.479497249007563
ORF28	NC_001491.2	48763	50625	+	CDS	DNA packaging protein UL32	cds-YP_053073.1	ORF28	1	1						
ORF28, ORF29											L	cluster_3	0.639733417267008	0.183746588198466	0.0145688510646552	-0.0735402637615101
ORF29	NC_001491.2	50618	51598	+	CDS	nuclear egress lamina protein	cds-YP_053074.1	ORF29	1	1						
ORF3	NC_001491.2	2841	3614	+	CDS	myristylated tegument protein CIRC	cds-YP_053048.1	ORF3	1	1	L	cluster_3	0.639733417267008	0.183746588198466	0.01595875107085	0.0545998454423567
ORF30	NC_001491.2	51522	55184	-	CDS	DNA polymerase catalytic subunit	cds-YP_053075.1	ORF30	1	1	E	cluster_5	0.680835472485176	0.31689166118919	0.125169476496434	0.512957208793156
ORF31	NC_001491.2	55453	59082	+	CDS	single-stranded DNA-binding protein	cds-YP_053076.1	ORF31	1	1	E	cluster_1	1	1	0.0616919720966731	0.598482516847664
ORF32	NC_001491.2	59243	61570	+	CDS	DNA packaging terminase subunit 2	cds-YP_053077.1	ORF32	1	1						
ORF32, ORF33, ORF34											E/L	cluster_7	0.998793688401764	0.995889845098213	0.14823473059877	0.207846986652851
ORF33	NC_001491.2	61432	64374	+	CDS	envelope glycoprotein B	cds-YP_053078.1	ORF33	1	1						
ORF34	NC_001491.2	64578	65060	+	CDS	protein V32	cds-YP_053079.1	ORF34	1	1						
ORF35	NC_001491.2	65153	67093	-	CDS	capsid maturation protease	cds-YP_053080.1	ORF35	1	1						
ORF35.5	NC_001491.2	65153	66142	-	CDS	capsid scaffold protein	cds-YP_053081.1	ORF35.5	1	1						
ORF36	NC_001491.2	67212	68975	-	CDS	DNA packaging tegument protein UL25	cds-YP_053082.1	ORF36	1	1	L	cluster_6	0.901192523579749	0.767422201952888	0.0908653426674658	0.146712436411548
ORF37	NC_001491.2	69079	69897	-	CDS	nuclear protein UL24	cds-YP_053083.1	ORF37	1	1	L	cluster_3	0.639733417267008	0.183746588198466	0.0396070966637538	0.627854363175864
ORF37, ORF36, ORF35, ORF35.5											L	cluster_6	0.901192523579749	0.767422201952888	0.0320031374895786	0.604018233482068
ORF38	NC_001491.2	69910	70968	+	CDS	thymidine kinase	cds-YP_053084.1	ORF38	1	1	L	cluster_3	0.639733417267008	0.183746588198466	0.00962852564090011	0.466571917621729
ORF39	NC_001491.2	71192	73738	+	CDS	envelope glycoprotein H	cds-YP_053085.1	ORF39	1	1	L	cluster_10	0.673014442332025	0.211683368379429	0.0152195678917947	0.748870282891975
ORF4	NC_001491.2	3647	4249	-	CDS	nuclear protein UL55	cds-YP_053049.1	ORF4	1	1	unknown	cluster_4	0.993955004149935	0.980577051072478	0	0
ORF40	NC_001491.2	74632	76224	-	CDS	tegument protein UL21	cds-YP_053086.1	ORF40	1	1	L	cluster_2	0.999818181861951	0.999381046257858	0.0105298865207404	0.868812053547424
ORF41	NC_001491.2	76793	77512	+	CDS	envelope protein UL20	cds-YP_053087.1	ORF41	1	1						
ORF41, ORF42, OF43											L	cluster_6	0.901192523579749	0.767422201952888	0.0203477691140865	0.596084745947304
ORF42	NC_001491.2	77703	81833	+	CDS	major capsid protein	cds-YP_053088.1	ORF42	1	1						
ORF43	NC_001491.2	82083	83027	+	CDS	capsid triplex subunit 2	cds-YP_053089.1	ORF43	1	1						
ORF44	NC_001491.2	87886	88917	-	CDS	DNA packaging terminase subunit 1	cds-YP_053090.1	ORF44	1	1	L	cluster_6	0.901192523579749	0.767422201952888	0.0910492803869187	0.708220533967078
ORF44	NC_001491.2	83148	84320	-	CDS	DNA packaging terminase subunit 1	ORF44_2	ORF44	1	2	L	cluster_6	0.901192523579749	0.767422201952888	0.0910492803869187	0.708220533967078
ORF45	NC_001491.2	84480	86600	+	CDS	DNA packaging tegument protein UL17	cds-YP_053091.1	ORF45	1	1						
ORF45, ORF46											L	cluster_10	0.673014442332025	0.211683368379429	0.0152195678917947	0.203603633186825
ORF46	NC_001491.2	86620	87732	+	CDS	tegument protein UL16	cds-YP_053092.1	ORF46	1	1						
ORF48	NC_001491.2	88947	89900	+	CDS	tegument protein UL14	cds-YP_053093.1	ORF48	1	1						
ORF48, ORF49, ORF50, ORF51											E/L	cluster_3	0.639733417267008	0.183746588198466	0.0398921017963614	0.202594067511712
ORF49	NC_001491.2	89369	91153	+	CDS	tegument serine/threonine protein kinase	cds-YP_053094.1	ORF49	1	1						
ORF5	NC_001491.2	4462	5874	-	CDS	multifunctional expression regulator	cds-YP_053050.1	ORF5	1	1						
ORF50	NC_001491.2	91135	92832	+	CDS	deoxyribonuclease	cds-YP_053046.1	ORF50	1	1						
ORF51	NC_001491.2	92784	93008	+	CDS	myristylated tegument protein	cds-YP_053095.1	ORF51	1	1						
ORF52	NC_001491.2	93120	94472	-	CDS	envelope glycoprotein M	cds-YP_053096.1	ORF52	1	1	L	cluster_8	0.940399794012629	0.709592353196381	0.064045251328702	0.728449338866179
ORF53	NC_001491.2	94390	97053	+	CDS	DNA replication origin-binding helicase	cds-YP_053097.1	ORF53	1	1						
ORF53, ORF54											E	cluster_8	0.940399794012629	0.709592353196381	0.109281722593814	0.660052825454433
ORF54	NC_001491.2	97069	99324	+	CDS	helicase-primase subunit	cds-YP_053098.2	ORF54	1	1						
ORF55	NC_001491.2	99421	100332	-	CDS	tegument protein UL7	cds-YP_053099.1	ORF55	1	1						
ORF56	NC_001491.2	100130	102391	-	CDS	capsid portal protein	cds-YP_053100.1	ORF56	1	1						
ORF57	NC_001491.2	102375	105020	+	CDS	helicase-primase helicase subunit	cds-YP_053101.1	ORF57	1	1						
ORF57, ORF58											L	cluster_8	0.940399794012629	0.709592353196381	0.0441604575554272	0.776749218203566
ORF58	NC_001491.2	105070	105747	+	CDS	nuclear protein UL4	cds-YP_053102.1	ORF58	1	1						
ORF59	NC_001491.2	105877	106416	-	CDS	protein V57	cds-YP_053103.1	ORF59	1	1						
ORF6	NC_001491.2	6011	7042	-	CDS	envelope glycoprotein K	cds-YP_053051.1	ORF6	1	1						
ORF60	NC_001491.2	106478	107116	-	CDS	nuclear protein UL3	cds-YP_053104.1	ORF60	1	1						
ORF61	NC_001491.2	107206	108144	-	CDS	uracil-DNA glycosylase	cds-YP_053105.1	ORF61	1	1						
ORF62	NC_001491.2	108147	108704	-	CDS	envelope glycoprotein L	cds-YP_053106.2	ORF62	1	1						
ORF62, ORF61, ORF60,ORF59											E/L	cluster_8	0.940399794012629	0.709592353196381	0.128476311553532	0.393445589021709
ORF63	NC_001491.2	110387	111985	-	CDS	ubiquitin E3 ligase ICP0	cds-YP_053107.1	ORF63	1	1	E	cluster_5	0.680835472485176	0.31689166118919	0.0504789895030378	0.741984076725089
ORF64	NC_001491.2	114128	118591	-	CDS	transcriptional regulator ICP4	cds-YP_053108.1	ORF64	1	1	IE	cluster_11	0.711616605111455	0.335539577857348	0	0
ORF64_2	NC_001491.2	144569	149032	+	CDS	transcriptional regulator ICP4	cds-YP_053124.1	ORF64	2	1						
ORF65	NC_001491.2	121368	122249	+	CDS	regulatory protein ICP22	cds-YP_053109.1	ORF65	1	1	E	cluster_5	0.680835472485176	0.31689166118919	0.178347424809143	0.620691674965876
ORF65_2	NC_001491.2	140911	141792	-	CDS	regulatory protein ICP22	cds-YP_053123.1	ORF65	2	1						
ORF66	NC_001491.2	122862	123572	+	CDS	virion protein US10	cds-YP_053110.1	ORF66	1	1	unknown	cluster_3	0.639733417267008	0.183746588198466	0.0373893547956857	-0.0977519511527678
ORF66_2	NC_001491.2	139588	140298	-	CDS	virion protein US10	cds-YP_053122.1	ORF66	2	1						
ORF67	NC_001491.2	124376	125194	-	CDS	virion protein V67	cds-YP_053111.1	ORF67	1	1						
ORF67_2	NC_001491.2	137966	138784	+	CDS	virion protein V67	cds-YP_053121.1	ORF67	2	1						
ORF68	NC_001491.2	125019	126275	-	CDS	virion protein US2	cds-YP_053112.1	ORF68	1	1						
