gene	seqnames	start	end	strand	type	product	ID	Name	copy_number	part	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
CTO											unknown	cluster_3	0.999030202039559	0.996878565739356	12.3214693913116	0.174560206613314
NOIR											unknown	cluster_5	0.626912470278075	0.209733355554317	13.024360819224	0.377153917639386
NOIR											unknown	cluster_5	0.626912470278075	0.209733355554317	13.0261987977634	0.376814444674708
ORF1	NC_001491.2	1298	1906	+	CDS	membrane protein UL56	cds-YP_053045.1	ORF1	1	1	unknown	cluster_1	1	1	4.73664576340343	0.351869927225151
ORF10	NC_001491.2	12084	12386	+	CDS	envelope glycoprotein N	cds-YP_053055.1	ORF10	1	1						
ORF10, ORF11											L	cluster_5	0.626912470278075	0.209733355554317	5.26735707306103	0.54606062518614
ORF11	NC_001491.2	12549	13463	+	CDS	tegument protein VP22	cds-YP_053056.1	ORF11	1	1						
ORF12	NC_001491.2	13595	14944	+	CDS	transactivating tegument protein VP16	cds-YP_053057.2	ORF12	1	1						
ORF12, ORF13, ORF14											L	cluster_3	0.999030202039559	0.996878565739356	12.6283534045602	0.416578308975784
ORF13	NC_001491.2	15317	17932	+	CDS	tegument protein VP13/14	cds-YP_053058.1	ORF13	1	1						
ORF14	NC_001491.2	18083	20326	+	CDS	tegument protein VP11/12	cds-YP_053059.1	ORF14	1	1						
ORF15	NC_001491.2	20487	21170	-	CDS	membrane protein UL45	cds-YP_053060.2	ORF15	1	1						
ORF16	NC_001491.2	21445	22851	-	CDS	envelope glycoprotein C	cds-YP_053061.1	ORF16	1	1						
ORF17	NC_001491.2	23029	24234	-	CDS	envelope protein UL43	cds-YP_053062.1	ORF17	1	1	L	cluster_1	1	1	7.50098010237216	0.354380366663169
ORF18	NC_001491.2	24479	25696	-	CDS	DNA polymerase processivity subunit	cds-YP_053063.1	ORF18	1	1	L	cluster_5	0.626912470278075	0.209733355554317	6.86782662579076	0.301974101962582
ORF18, ORF17, ORF16, ORF15											L	cluster_6	0.997813469001926	0.990201007573879	0	0
